datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-05-13 11:38:00.000;EU;PKW;BMW;GLEUELER STR.;;141312;;
2020-05-13 11:43:00.000;K;PKW;AUDI;GLEUELER STR.;53;113140;;
2020-05-13 11:52:00.000;K;PKW;FORD;HEINESTR.;24;141245;;
2020-05-13 12:00:00.000;K;PKW;MERCEDES;ROBERT-KOCH-STR.;10;113140;;
2020-05-14 06:58:00.000;K;PKW;VW-VOLKSWAGEN;ROBERT-KOCH-STR.;8;112432;;
2020-05-11 12:30:00.000;K;PKW;RENAULT;SILCHERSTR.;4;112113;;
2020-05-12 07:35:00.000;HR;PKW;OPEL;AN DEN BIRKEN;34;937321;112273;
2020-05-12 12:06:00.000;K;PKW;FIAT;MARIENSTR.;;112403;112263;
2020-05-12 12:30:00.000;K;PKW;FORD;GERHARD-BRUDERS-STR.;;937221;;
2020-05-12 12:30:00.000;K;PKW;OPEL;GERHARD-BRUDERS-STR.;;937221;;
2020-05-12 12:30:00.000;K;PKW;HYUNDAI;GERHARD-BRUDERS-STR.;;937221;;
2020-05-12 12:37:00.000;GL;PKW;VW-VOLKSWAGEN;PETER-FRANZEN-STR.;2;141312;;
2020-05-12 12:48:00.000;BM;PKW;RENAULT;GERHARD-BRUDERS-STR.;;329119;;
2020-05-12 12:47:00.000;K;PKW;BEDFORD;PETER-FRANZEN-STR.;;112403;;
2020-05-12 13:10:00.000;K;PKW;SKODA;JÜSSENSTR.;;112273;;
2020-05-12 08:15:00.000;AN;PKW;VW-VOLKSWAGEN;GRÜNER BRUNNENWEG;52-50;141313;;
2020-05-12 08:15:00.000;K;PKW;OPEL;GRÜNER BRUNNENWEG;51-50;141313;;
2020-05-12 08:15:00.000;K;PKW;VW-VOLKSWAGEN;GRÜNER BRUNNENWEG;43;141313;;
2020-05-12 08:15:00.000;K;PKW;AUDI;GRÜNER BRUNNENWEG;46;141313;;
2020-05-12 08:15:00.000;K;PKW;VW-VOLKSWAGEN;AN DEN BIRKEN;;112403;112263;
2020-05-12 08:15:00.000;K;PKW;FORD;GRÜNER BRUNNENWEG;;141313;112263;
2020-05-13 07:40:00.000;GL;PKW;SKODA;LASKER-SCHÜLER-STR.;;112216;;
2020-05-13 08:26:00.000;K;PKW;AUDI;BÖRNESTR.;;937221;;
2020-05-13 08:40:00.000;K;PKW;FORD;GÖRLINGER-ZENTRUM;;112403;;
2020-05-13 10:38:00.000;K;PKW;FORD;BALTHASARSTR.;9-11;141313;;
2020-05-13 13:50:00.000;GM;PKW;NISSAN;OSSENDORFER WEG;;141312;;
2020-05-13 13:45:00.000;K;PKW;VW-VOLKSWAGEN;BAHIDE-ARSLAN-STR.;12;112414;;
2020-05-13 14:10:00.000;K;PKW;FIAT;GERHARD-BRUDERS-STR.;;937221;;
2020-05-13 14:10:00.000;K;PKW;MERCEDES;GERHARD-BRUDERS-STR.;;937221;;
2020-05-13 14:10:00.000;K;PKW;MERCEDES;GERHARD-BRUDERS-STR.;;937221;;
2020-05-13 14:10:00.000;K;LKW;MERCEDES;GERHARD-BRUDERS-STR.;;937221;;
2020-05-13 14:15:00.000;K;PKW;OPEL;PETER-FRANZEN-STR.;2;141312;;
2020-05-13 14:38:00.000;K;PKW;FORD;FRANZ-RAVEAUX-STR.;;112402;;
2020-05-13 14:38:00.000;K;Anhänger ohne Zugfahrzeug;UNBEKANNT;AUGUST-VON-WILLICH-STR.;103;112398;;
2020-05-13 14:38:00.000;K;PKW;RENAULT;AUGUST-VON-WILLICH-STR.;;112403;;
2020-05-13 15:05:00.000;BM;PKW;FORD;PETER-RÖSER-STR.;;112403;;
2020-05-13 15:15:00.000;K;PKW;OPEL;PETER-RÖSER-STR.;2;937221;;
2020-05-13 15:15:00.000;K;PKW;FORD;PETER-RÖSER-STR.;9;112216;;
2020-05-14 07:26:00.000;K;PKW;FORD;GREMBERGER STR.;;141312;;
2020-05-14 07:26:00.000;LÖ;PKW;VW-VOLKSWAGEN;FLAMMERSFELDER STR.;;937221;;
2020-05-14 07:26:00.000;WÜ;PKW;FORD;FLAMMERSFELDER STR.;;937221;;
2020-05-14 07:26:00.000;K;PKW;BMW;FLAMMERSFELDER STR.;;937221;;
2020-05-14 07:38:00.000;K;PKW;VW-VOLKSWAGEN;AN DER PULVERMÜHLE;;112402;;
2020-05-14 07:08:00.000;HH;PKW;SMART;EIGELSTEIN;100-102;141323;;
2020-05-14 07:08:00.000;K;PKW;MINI;EIGELSTEIN;;141325;;
2020-05-13 10:17:00.000;K;PKW;VW-VOLKSWAGEN;WERKSTATTSTR.;11-13;113140;;
2020-05-13 10:17:00.000;KS;PKW;BMW;WERKSTATTSTR.;13;113140;;
2020-05-13 10:01:00.000;DO;PKW;VW-VOLKSWAGEN;JOSEPHSKIRCHPLATZ;7;113140;;
2020-05-13 10:01:00.000;BM;PKW;BMW;JOSEPHSKIRCHPLATZ;5;113140;;
2020-05-13 09:58:00.000;K;PKW;PEUGEOT;KRÜTHSTR.;34;113140;;
2020-05-13 09:58:00.000;K;PKW;MERCEDES;REMBRANDTSTR.;;141245;;
2020-05-13 08:58:00.000;NE;PKW;VW-VOLKSWAGEN;KRETZERSTR.;26;141322;937221;
2020-05-13 08:58:00.000;K;PKW;VW-VOLKSWAGEN;KRETZERSTR.;26;141322;937221;
2020-05-13 08:58:00.000;K;PKW;BMW;KRETZERSTR.;3-9;112402;;
2020-05-13 08:36:00.000;K;PKW;SMART;URACHER STR.;;112273;;
2020-05-13 08:36:00.000;DO;PKW;VW-VOLKSWAGEN;GÖPPINGER STR.;;112262;;
2020-05-13 08:36:00.000;K;PKW;VW-VOLKSWAGEN;BÖBLINGER STR.;17-19;937221;;
2020-05-13 08:36:00.000;K;PKW;PEUGEOT;BÖBLINGER STR.;17-19;937221;;
2020-05-13 08:36:00.000;D;PKW;OPEL;BÖBLINGER STR.;17-19;937221;;
2020-05-13 07:43:00.000;K;PKW;TESLA;NEUSSER STR.;557;141313;;
2020-05-13 07:16:00.000;K;PKW;OPEL;ZONSER STR.;;112272;;
2020-05-12 15:15:00.000;K;PKW;VW-VOLKSWAGEN;SIEBACHSTR.;89;113140;;
2020-05-12 15:15:00.000;DO;PKW;BMW;SIEBACHSTR.;71-73;113140;;
2020-05-12 15:15:00.000;K;PKW;VW-VOLKSWAGEN;SIEBACHSTR.;75-77;113140;;
2020-05-13 14:40:00.000;COE;PKW;MAZDA;KEMPENER STR.;125;113140;;
2020-05-13 14:40:00.000;K;PKW;VW-VOLKSWAGEN;KEMPENER STR.;125;113140;;
2020-05-13 14:40:00.000;K;PKW;MERCEDES;KEMPENER STR.;127;113140;;
2020-05-13 14:40:00.000;K;PKW;MERCEDES;KEMPENER STR.;12-127;113140;;
2020-05-13 14:40:00.000;GTH;PKW;PEUGEOT;KEMPENER STR.;119;329113;;
2020-05-13 14:40:00.000;GTH;PKW;PEUGEOT;KEMPENER STR.;119;141342;141412;
2020-05-13 14:49:00.000;NR;PKW;VW-VOLKSWAGEN;MERHEIMER STR.;159-161;113140;;
2020-05-13 14:49:00.000;E;PKW;TOYOTA;MERHEIMER STR.;161;113140;;
2020-05-13 14:49:00.000;NE;PKW;OPEL;MERHEIMER STR.;167;113140;;
2020-05-13 15:10:00.000;K;PKW;MINI;NEUSSER STR.;284-286;142278;;
2020-05-13 15:45:00.000;K;PKW;VW-VOLKSWAGEN;BERGSTR.;;142278;;
2020-05-13 15:45:00.000;WÜ;PKW;BMW;BERGSTR.;;142278;;
2020-05-12 15:09:00.000;K;PKW;MERCEDES;CRANACHSTR.;42-44;113140;;
2020-05-13 07:42:00.000;GL;PKW;FIAT;FUGGERSTR.;37;112292;141422;
2020-05-13 09:09:00.000;BN;PKW;TOYOTA;FRIEDRICH-NAUMANN-STR.;;141312;;
2020-05-13 09:35:00.000;K;PKW;RENAULT;JOHANNESSTR. PO;10;142278;;
2020-05-12 15:09:00.000;WO;PKW;AUDI;CRANACHSTR.;33-35;113140;;
2020-05-12 14:59:00.000;K;PKW;OPEL;CHRISTINASTR.;23;101048;;
2020-05-12 14:55:00.000;GL;PKW;CITROEN;CHRISTINASTR.;17-19;113140;;
2020-05-12 14:48:00.000;SI;PKW;CITROEN;HOLBEINSTR.;45;113140;;
2020-05-12 14:50:00.000;K;PKW;BMW;HOLBEINSTR.;33-35;113140;;
2020-05-12 14:51:00.000;NR;PKW;AUDI;HOLBEINSTR.;34;329610;;
2020-05-12 14:45:00.000;K;PKW;FORD;HOLBEINSTR.;59;113140;;
2020-05-12 14:43:00.000;ME;PKW;FORD;SIEBACHSTR.;39;141322;;
2020-05-12 14:43:00.000;K;PKW;MERCEDES;SIEBACHSTR.;33-35;113140;;
2020-05-12 14:39:00.000;K;PKW;RENAULT;MERHEIMER STR.;56;113140;;
2020-05-12 14:30:00.000;K;PKW;SMART;MERHEIMER STR.;71;113140;;
2020-05-12 14:25:00.000;K;PKW;AUDI;MERHEIMER STR.;71;113140;;
2020-05-12 14:25:00.000;K;PKW;FORD;MERHEIMER STR.;73;329113;;
2020-05-12 14:25:00.000;K;PKW;FORD;MERHEIMER STR.;73;141322;;
2020-05-12 14:25:00.000;K;PKW;RENAULT;MERHEIMER STR.;77;141322;;
2020-05-12 14:25:00.000;HB;PKW;ALFA-ROMEO;MERHEIMER STR.;98;113140;;
2020-05-12 14:25:00.000;M;PKW;AUDI;MERHEIMER STR.;104-108;113140;;
2020-05-12 11:55:00.000;GL;PKW;FORD;LOKOMOTIVSTR.;;113140;;
2020-05-12 11:55:00.000;K;PKW;VW-VOLKSWAGEN;LOKOMOTIVSTR.;;113140;;
2020-05-12 11:55:00.000;BM;PKW;FORD;LOKOMOTIVSTR.;;113140;;
2020-05-12 11:55:00.000;K;PKW;FORD;LOKOMOTIVSTR.;140;113140;;
2020-05-12 11:55:00.000;BM;PKW;VOLVO;LOKOMOTIVSTR.;140;113140;;
2020-05-12 11:55:00.000;K;PKW;OPEL;LOKOMOTIVSTR.;142-144;113140;;
2020-05-12 11:55:00.000;HK;PKW;SKODA;LOKOMOTIVSTR.;148;113140;;
2020-05-12 11:53:00.000;D;PKW;OPEL;LOKOMOTIVSTR.;148-150;113140;;
2020-05-12 11:44:00.000;HOR;PKW;MERCEDES;LOKOMOTIVSTR.;124;113140;;
2020-05-12 11:44:00.000;DO;PKW;OPEL;LOKOMOTIVSTR.;124;113140;;
2020-05-12 11:44:00.000;K;PKW;VW-VOLKSWAGEN;LOKOMOTIVSTR.;122;113140;;
2020-05-12 11:44:00.000;K;PKW;MERCEDES;LOKOMOTIVSTR.;18;113140;;
2020-05-12 11:11:00.000;GL;PKW;RENAULT;LOKOMOTIVSTR.;6;142103;;
2020-05-12 11:34:00.000;K;PKW;RENAULT;LOKOMOTIVSTR.;64-66;113140;;
2020-05-12 11:34:00.000;ED;PKW;TOYOTA;LOKOMOTIVSTR.;62;113140;;
2020-05-12 11:11:00.000;K;PKW;BMW;LOKOMOTIVSTR.;6;142103;;
2020-05-12 11:10:00.000;K;PKW;FIAT;LOKOMOTIVSTR.;8;142103;;
2020-05-12 11:14:00.000;WI;PKW;SEAT;LOKOMOTIVSTR.;8;113140;;
2020-05-12 11:14:00.000;K;PKW;MERCEDES;LOKOMOTIVSTR.;8;113140;;
2020-05-12 11:14:00.000;K;PKW;BMW;LOKOMOTIVSTR.;2;113140;;
2020-05-12 11:14:00.000;K;PKW;VW-VOLKSWAGEN;LOKOMOTIVSTR.;2;113140;;
2020-05-12 11:14:00.000;K;PKW;MERCEDES;LOKOMOTIVSTR.;2;113140;;
2020-05-12 07:28:00.000;HH;PKW;SMART;MERHEIMER PLATZ;;141312;;
2020-05-27 07:32:00.000;K;PKW;VW-VOLKSWAGEN;BERRENRATHER STR.;354;112454;;
2020-05-27 07:30:00.000;DU;PKW;VW-VOLKSWAGEN;KYLLBURGER STR.;;141312;;
