datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-12-01 17:50:00.000;K;PKW;MERCEDES;BERGISCH GLADBACHER STR.;798;141100;;
2020-12-01 18:30:00.000;DD;PKW;FORD;WALLSTR.;;112272;;
2020-12-01 19:15:00.000;K;PKW;MAZDA;TRIBERGER WEG;;112403;;
2020-12-01 20:35:00.000;SU;PKW;BMW;HOLSTEINSTR.;15;112216;;
2020-12-01 16:58:00.000;GL;PKW;FORD;ROLSHOVER STR.;155;141312;;
2020-12-01 16:58:00.000;K;PKW;NISSAN;ROLSHOVER STR.;155-153;141312;;
2020-12-02 13:40:00.000;K;PKW;AUDI;EHRENFELDGÜRTEL;;112402;;
2020-12-02 13:50:00.000;K;PKW;RENAULT;VENLOER STR.;425B;142278;114000;
2020-12-01 21:00:00.000;K;PKW;MERCEDES;HOMARSTR.;24;112292;;
2020-12-01 16:58:00.000;K;PKW;MERCEDES;ROLSHOVER STR.;151;141312;;
2020-12-01 18:42:00.000;BM;PKW;VOLVO;KOBURGER PLATZ;6;141312;;
2020-12-01 18:42:00.000;K;PKW;DACIA;KOBURGER PLATZ;6;141312;;
2020-12-01 18:32:00.000;ROK;PKW;SMART;SCHULSTR.;40;141312;;
2020-12-01 18:36:00.000;BM;PKW;VW-VOLKSWAGEN;SAALFELDER STR.;8;141312;;
2020-12-01 11:31:00.000;SU;PKW;MERCEDES;VON-DER-WETTERN-STR;13;141312;;
2020-12-01 11:31:00.000;K;PKW;FORD;VON-DER-WETTERN-STR;13;141312;;
2020-12-03 10:45:00.000;RE;PKW;BMW;LEYENDECKERSTR.;;900321;;
2020-12-03 10:53:00.000;K;PKW;OPEL;OSKAR-JÄGER-STR.;;112403;;
2020-12-03 11:41:00.000;BN;PKW;PEUGEOT;VOGELSANGER STR.;203;112112;;
2020-12-03 11:41:00.000;K;PKW;KIA;VOGELSANGER STR.;203;112112;;
2020-12-03 11:41:00.000;AW;PKW;VOLVO;VOGELSANGER STR.;203;112403;;
2020-12-03 11:41:00.000;K;PKW;SKODA;VOGELSANGER STR.;203;112402;;
2020-12-01 17:11:00.000;K;PKW;RENAULT;GEREONSWALL;128;141322;;
2020-12-01 17:08:00.000;B;PKW;VW-VOLKSWAGEN;GEREONSWALL;126;141322;;
2020-12-04 07:29:00.000;BM;PKW;SKODA;FRÖBELSTR.;18;141293;;
