datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-06-09 11:31:00.000;K;PKW;FORD;OSTLANDSTR.;19;113140;;
2020-06-09 12:00:00.000;BM;PKW;VW-VOLKSWAGEN;OSTLANDSTR.;49;113140;;
2020-06-09 12:25:00.000;BM;PKW;HONDA;POTSDAMER STR.;10;113140;;
2020-06-09 12:20:00.000;DU;PKW;MERCEDES;POTSDAMER STR.;2;113140;;
2020-06-09 12:50:00.000;K;PKW;MERCEDES;OSTLANDSTR.;96;113140;;
2020-06-09 12:50:00.000;BM;PKW;FIAT;OSTLANDSTR.;55;113140;;
2020-06-09 12:50:00.000;GL;PKW;OPEL;OSTLANDSTR.;53;113140;;
2020-06-09 15:50:00.000;BM;PKW;SKODA;OSTLANDSTR.;31;113140;;
2020-06-09 15:50:00.000;K;PKW;MERCEDES;OSTLANDSTR.;16;113140;;
2020-06-09 15:50:00.000;BM;PKW;HYUNDAI;OSTLANDSTR.;29;113140;;
2020-06-09 15:50:00.000;K;PKW;RENAULT;OSTLANDSTR.;17;113140;;
2020-06-09 15:50:00.000;K;PKW;VW-VOLKSWAGEN;OSTLANDSTR.;15;113140;;
2020-06-09 16:00:00.000;BM;PKW;VW-VOLKSWAGEN;DANZIGER STR. WE;10;142252;;
2020-06-09 16:10:00.000;K;PKW;KIA;DANZIGER STR. WE;1;142252;;
2020-06-10 08:00:00.000;K;PKW;MERCEDES;SCHULSTR. WE;;141312;;
2020-06-09 12:00:00.000;K;PKW;VW-VOLKSWAGEN;OSTLANDSTR.;45;113144;;
2020-06-09 12:25:00.000;K;PKW;VW-VOLKSWAGEN;POTSDAMER STR.;6/8;113140;;
2020-06-09 12:40:00.000;BM;PKW;RENAULT;POTSDAMER STR.;1;113140;;
2020-06-09 12:30:00.000;BM;PKW;FORD;POTSDAMER STR.;;113140;;
2020-06-10 08:30:00.000;BM;PKW;FORD;LÜBECKER STR. WE;2;142252;;
