datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-11-03 09:24:00.000;K;PKW;VW-VOLKSWAGEN;KEPLERSTR.;45-43;141312;;
2020-11-03 09:24:00.000;K;PKW;OPEL;KEPLERSTR.;29;112402;141312;
2020-11-03 10:01:00.000;K;PKW;RENAULT;ROTHEHAUSSTR.;31;112402;141312;
2020-11-03 09:20:00.000;BM;PKW;VW-VOLKSWAGEN;KEPLERSTR.;9-11;141314;;
2020-11-03 10:35:00.000;DAH;Sonstiges Fahrzeug;NULL;SÖMMERINGSTR.;44;141621;;
2020-11-03 11:00:00.000;K;PKW;OPEL;EISENSTR.;;329119;;
2020-11-03 11:11:00.000;K;PKW;AUDI;ÖLSTR.;;141313;141413;112402
2020-11-03 09:13:00.000;K;PKW;RENAULT;KEPLERSTR.;1;141324;;
2020-11-03 09:13:00.000;K;PKW;AUDI;KEPLERSTR.;1;141324;;
2020-11-02 07:00:00.000;K;PKW;BMW;AN DER PULVERMÜHLE;21;141312;112042;
2020-11-02 07:00:00.000;K;PKW;MERCEDES;BURGENLANDSTR.;;937221;;
2020-11-02 07:06:00.000;K;PKW;VW-VOLKSWAGEN;BURGENLANDSTR.;;937221;;
2020-11-02 07:06:00.000;K;PKW;MERCEDES;BUGENHAGENSTR.;;141312;;
2020-11-02 07:06:00.000;K;PKW;FORD;BURGENLANDSTR.;;141312;;
2020-11-02 07:12:00.000;K;PKW;FIAT;GREMBERGER STR.;26;141322;;
2020-11-02 07:12:00.000;K;PKW;FORD;GREMBERGER STR.;26;141322;;
2020-11-04 07:38:00.000;K;PKW;FIAT;GUTENBERGSTR.;38;112402;141312;
2020-11-04 07:45:00.000;K;PKW;OPEL;CHRISTIAN-SCHULT-STR.;;112402;;
2020-11-04 07:45:00.000;EU;PKW;FORD;CHRISTIAN-SCHULT-STR.;11;112402;;
2020-11-04 07:45:00.000;K;PKW;VW-VOLKSWAGEN;CHRISTIAN-SCHULT-STR.;18;112402;;
2020-11-04 07:12:00.000;HH;PKW;MERCEDES;VENLOER STR.;324;141322;;
2020-11-04 07:20:00.000;K;PKW;SMART;VENLOER STR.;300;141322;;
2020-11-01 17:50:00.000;K;PKW;FIAT;KURFÜRSTENSTR.;15;112402;;
2020-11-01 17:42:00.000;K;PKW;VW-VOLKSWAGEN;ALTEBURGER STR.;54;112402;141312;
2020-11-01 17:30:00.000;MZG;PKW;SKODA;ALTEBURGER STR.;101;112402;;
2020-11-01 17:11:00.000;BM;PKW;BMW;BAYENSTR.;13;141106;;
2020-11-01 17:11:00.000;BM;PKW;AUDI;BAYENSTR.;;141312;;
2020-11-01 16:38:00.000;K;PKW;SMART;KENDENICHER STR.;;112402;;
2020-11-01 16:38:00.000;BM;PKW;AUDI;KENDENICHER STR.;;112402;;
2020-11-01 16:38:00.000;DEL;PKW;FORD;KENDENICHER STR.;;112402;;
2020-11-01 16:38:00.000;K;PKW;RENAULT;KENDENICHER STR.;;112402;;
2020-11-03 15:02:00.000;K;PKW;BMW;VENLOER STR.;367-365;113140;;
2020-11-03 15:06:00.000;BM;PKW;FORD;VENLOER STR.;331;113140;;
