datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-09-03 10:59:00.000;LEV;PKW;VW-VOLKSWAGEN;THIEBOLDSGASSE;105;141322;;
2020-09-03 10:59:00.000;HB;PKW;AUDI;THIEBOLDSGASSE;105;141322;;
2020-09-03 11:05:00.000;TBB;PKW;AUDI;THIEBOLDSGASSE;136;141312;;
2020-09-03 11:05:00.000;BM;PKW;AUDI;THIEBOLDSGASSE;;113140;;
2020-09-04 09:28:00.000;BM;PKW;LAND-ROVER;FLEISCHMENGERGASSE;;113140;;
2020-09-04 09:40:00.000;K;PKW;BMW;FLEISCHMENGERGASSE;45;112042;113140;
2020-09-04 09:57:00.000;BM;PKW;HYUNDAI;THIEBOLDSGASSE;98;113140;;
2020-09-04 10:00:00.000;BN;PKW;VW-VOLKSWAGEN;THIEBOLDSGASSE;21;113140;;
2020-09-04 10:00:00.000;OE;PKW;AUDI;THIEBOLDSGASSE;12;113140;;
2020-09-04 10:16:00.000;K;PKW;MERCEDES;FLEISCHMENGERGASSE;4;141322;;
2020-09-03 10:15:00.000;F;PKW;SEAT;LUXEMBURGER STR.;284;141322;;
2020-09-03 10:15:00.000;K;PKW;BMW;LUXEMBURGER STR.;284;141322;;
2020-09-03 11:22:00.000;K;PKW;FORD;LUXEMBURGER STR.;249;141322;;
2020-09-03 07:15:00.000;K;PKW;FIAT;DÜSSELDORFER STR. PO;;141245;112272;
2020-09-01 07:55:00.000;K;PKW;FORD;WINDRÖSCHENWEG;20;142103;;
2020-09-01 07:55:00.000;K;PKW;OPEL;WINDRÖSCHENWEG;20-22;142103;;
2020-09-01 07:55:00.000;K;PKW;ALFA-ROMEO;WINDRÖSCHENWEG;22;142103;;
2020-09-01 07:55:00.000;K;PKW;FORD;WINDRÖSCHENWEG;22-24;142103;;
2020-09-01 07:55:00.000;K;PKW;SMART;ENZIANWEG;23;900321;142103;
2020-09-01 07:12:00.000;K;PKW;SKODA;KREUZBLUMENWEG;13;142103;;
2020-09-01 07:12:00.000;K;PKW;MERCEDES;WEZELOSTR.;32;142103;;
2020-09-01 07:12:00.000;K;PKW;MERCEDES;WEZELOSTR.;32;142103;;
2020-09-01 07:12:00.000;K;PKW;OPEL;WEZELOSTR.;30;142103;;
2020-09-03 20:53:00.000;K;PKW;PEUGEOT;BENNAUERSTR.;;141312;;
2020-09-03 21:34:00.000;K;PKW;VW-VOLKSWAGEN;IM BODESFELD;;141412;;
2020-09-03 20:53:00.000;K;PKW;FORD;BENNAUERSTR.;;141312;;
2020-09-03 20:24:00.000;K;PKW;VW-VOLKSWAGEN;HAUPTSTR. PO;409;112412;;
2020-09-03 20:21:00.000;K;PKW;BMW;BURGENLANDSTR.;;141310;;
2020-09-03 21:01:00.000;K;PKW;LEXUS;FRIEDRICH-EBERT-UFER;;141062;;
2020-09-03 21:01:00.000;K;PKW;AUDI;FRIEDRICH-EBERT-UFER;58-60;141062;;
2020-09-03 18:04:00.000;K;PKW;BMW;AM SCHWANEBITZER HOF;;112402;141312;141412
2020-09-03 18:16:00.000;K;PKW;FIAT;BEETHOVENSTR. PO;9-11;112402;;
2020-09-03 18:16:00.000;M;PKW;FORD;SCHELLENWEG;;142103;;
2020-09-03 18:26:00.000;K;PKW;VW-VOLKSWAGEN;ELSDORFER STR.;34;141312;112042;
2020-09-04 11:35:00.000;K;PKW;VW-VOLKSWAGEN;KENNEDY-UFER;;113140;;
2020-09-04 11:35:00.000;DO;PKW;BMW;KENNEDY-UFER;;113140;;
2020-09-04 11:35:00.000;BB;PKW;VW-VOLKSWAGEN;KENNEDY-UFER;;113140;;
2020-09-04 11:07:00.000;SU;PKW;AUDI;OPLADENER STR.;;113140;;
2020-09-04 11:07:00.000;K;PKW;MERCEDES;OPLADENER STR.;;113140;;
2020-09-04 11:07:00.000;GM;PKW;BMW;OPLADENER STR.;;113140;;
2020-09-04 11:07:00.000;K;PKW;KIA;OPLADENER STR.;;113140;;
2020-09-04 11:07:00.000;K;PKW;VOLVO;OPLADENER STR.;;113140;;
2020-09-04 08:52:00.000;K;PKW;FORD;URBANSTR.;;141312;;
2020-09-04 08:42:00.000;K;PKW;FORD;HERMANN-PÜNDER-STR.;;141322;;
2020-09-04 14:20:00.000;K;PKW;FIAT;WILHELMSTR. RO;74;141322;;
2020-09-04 14:10:00.000;NE;PKW;FORD;MATERNUSSTR. RO;8-10;113140;;
2020-09-04 13:57:00.000;GL;PKW;FORD;KIRCHSTR. RO;2;141312;;
2020-09-04 08:05:00.000;SU;PKW;OPEL;VORGEBIRGSTR.;344;141313;;
2020-09-04 13:57:00.000;K;PKW;HYUNDAI;KIRCHSTR. RO;2;141312;;
