datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2020-03-02 07:02:00.000;K;PKW;MERCEDES;FRANKSTR. RO;1;141312;;
2020-03-02 07:35:00.000;EU;PKW;PEUGEOT;HAUPTSTR. RO;11;141312;;
2020-03-04 10:18:00.000;1;PKW;SEAT;MOLTKESTR.;97;141621;;
2020-03-02 19:17:00.000;OB;PKW;TOYOTA;ELTENER STR.;9;141322;;
2020-03-02 19:35:00.000;K;PKW;FORD;MAUENHEIMER STR.;151A;141312;;
2020-03-02 19:35:00.000;BM;PKW;JEEP;MAUENHEIMER STR.;151A;141312;;
2020-03-02 19:35:00.000;GM;PKW;NISSAN;MAUENHEIMER STR.;146;112272;;
2020-03-03 20:48:00.000;K;PKW;FORD;EMMERICHER STR.;;141322;937221;
2020-03-03 07:01:00.000;K;PKW;SMART;HOMBURGER STR.;;329113;;
2020-03-03 07:05:00.000;OB;PKW;LAND-ROVER;HOMBURGER STR.;2-4;141312;;
2020-03-03 07:20:00.000;LEV;PKW;VW-VOLKSWAGEN;HERTHASTR.;50;141312;;
2020-03-03 07:20:00.000;K;PKW;AUDI;KRÖVER STR.;;112272;;
2020-03-03 09:10:00.000;K;PKW;FORD;KENDENICHER STR.;2;329113;;
2020-03-02 07:11:00.000;K;PKW;AUDI;GOTHAER PLATZ;8;112402;;
2020-03-02 07:11:00.000;K;PKW;FORD;GOTHAER PLATZ;6;112402;;
2020-03-02 10:20:00.000;K;PKW;AUDI;OLPENER STR.;;113140;;
2020-03-02 10:20:00.000;K;PKW;RENAULT;OLPENER STR.;;113140;;
2020-03-02 10:20:00.000;K;PKW;RENAULT;OLPENER STR.;;113140;;
2020-03-02 10:20:00.000;K;PKW;TOYOTA;OLPENER STR.;53-55;113140;;
2020-03-02 10:41:00.000;K;PKW;FORD;OLPENER STR.;;141113;937221;
2020-03-02 10:20:00.000;K;PKW;FIAT;OLPENER STR.;69;113141;;
2020-03-02 10:56:00.000;K;PKW;FORD;OLPENER STR.;174;329113;;
2020-03-02 10:10:00.000;K;PKW;OPEL;AN ST.ELISABETH;;112273;;
2020-03-02 10:03:00.000;K;PKW;BMW;ADALBERTSTR.;8;141314;;
2020-03-03 12:50:00.000;K;PKW;MERCEDES;KIERBERGER STR.;;329113;;
2020-03-04 08:50:00.000;K;PKW;SMART;WINTERBERGER STR.;26-32;141324;;
2020-03-03 10:42:00.000;K;PKW;HONDA;LANDMANNSTR.;10;113140;;
2020-03-03 10:42:00.000;K;PKW;FORD;LANDMANNSTR.;12;113140;;
2020-03-03 10:44:00.000;K;PKW;VW-VOLKSWAGEN;LANDMANNSTR.;30;141322;;
2020-03-03 10:48:00.000;K;PKW;BMW;LANDMANNSTR.;32-34;113140;;
2020-03-03 10:52:00.000;EU;PKW;MERCEDES;ILTISSTR.;6;141322;;
2020-03-03 11:00:00.000;HH;PKW;VW-VOLKSWAGEN;ILTISSTR.;;141313;;
2020-03-03 12:32:00.000;BM;PKW;FORD;EHRENFELDGÜRTEL;155;112402;;
2020-03-03 12:53:00.000;LEV;PKW;FORD;FRIDOLINSTR.;74;329113;;
2020-03-03 13:03:00.000;EU;PKW;CITROEN;LANDMANNSTR.;32-34;113140;;
2020-03-03 13:01:00.000;K;PKW;VOLVO;LANDMANNSTR.;32;113140;;
2020-03-03 07:01:00.000;K;PKW;VOLVO;HOMBURGER STR.;;141245;;
2020-03-03 11:30:00.000;K;PKW;FIAT;BERNHARD-FEILCHENFELD-STR;1;141322;;
2020-03-03 11:30:00.000;K;PKW;SEAT;BERNHARD-FEILCHENFELD-STR;9;329113;;
2020-03-03 10:20:00.000;K;PKW;VW-VOLKSWAGEN;GOTTESWEG;72-76;329610;;
2020-03-03 09:25:00.000;AW;PKW;HYUNDAI;KALSCHEURER WEG;;141312;;
2020-03-04 10:12:00.000;K;Anhänger ohne Zugfahrzeug;UNBEKANNT;RITTERSTR. WSS;49;329113;;
2020-03-03 18:01:00.000;K;PKW;MINI;NOHLSTR.;;927421;;
2020-03-03 20:59:00.000;K;PKW;FORD;GELSENKIRCHENER STR.;;112402;;
2020-03-02 07:00:00.000;K;PKW;RENAULT;LÜDERICHSTR.;;112402;;
2020-03-02 07:00:00.000;ST;PKW;OPEL;LÜDERICHSTR.;;112402;;
2020-03-02 07:00:00.000;K;PKW;HYUNDAI;LÜDERICHSTR.;;112402;;
2020-03-02 07:00:00.000;K;PKW;OPEL;LÜDERICHSTR.;;112402;;
2020-03-02 07:15:00.000;K;PKW;VW-VOLKSWAGEN;ODENWALDSTR.;65;112292;;
2020-03-02 07:15:00.000;K;PKW;VW-VOLKSWAGEN;ROLSHOVER STR.;127;141412;;
2020-03-02 07:15:00.000;K;PKW;BMW;ODENWALDSTR.;;112402;;
2020-03-02 07:15:00.000;HD;PKW;SEAT;NASSAUSTR.;;141313;;
2020-03-02 07:30:00.000;K;PKW;BMW;ESSENER STR.;;112263;;
2020-03-02 07:30:00.000;HG;PKW;PEUGEOT;ESSENER STR.;73A;141382;;
2020-03-02 07:40:00.000;K;PKW;VW-VOLKSWAGEN;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;BN;PKW;FIAT;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;K;PKW;RENAULT;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;K;PKW;AUDI;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;K;PKW;FORD;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;K;PKW;AUDI;WESTERWALDSTR.;;142103;;
2020-03-02 07:40:00.000;K;PKW;SEAT;WESTERWALDSTR.;21;142103;;
2020-03-02 07:40:00.000;K;PKW;FIAT;WESTERWALDSTR.;;142103;;
2020-03-02 07:50:00.000;K;PKW;FIAT;WESTERWALDSTR.;;142103;;
2020-03-02 08:00:00.000;K;PKW;FORD;VOLPERTUSSTR.;;112373;141312;
2020-03-02 08:05:00.000;K;PKW;TOYOTA;LÜDERICHSTR.;42;141322;;
2020-03-02 08:05:00.000;BM;PKW;CITROEN;LÜDERICHSTR.;;112273;;
2020-03-02 08:13:00.000;GL;PKW;VW-VOLKSWAGEN;LÜDERICHSTR.;29;937221;;
2020-03-02 08:17:00.000;HH;PKW;SEAT;ODENWALDSTR.;;112403;;
2020-03-03 21:24:00.000;K;PKW;MERCEDES;MERHEIMER STR.;89;141312;;
2020-03-03 21:24:00.000;EU;LKW;MERCEDES;MERHEIMER STR.;87;141312;;
2020-03-03 21:24:00.000;OG;PKW;MERCEDES;MERHEIMER STR.;87-89;141312;;
2020-03-03 20:52:00.000;K;PKW;OPEL;DUISBURGER STR.;42;112403;;
2020-03-03 20:51:00.000;K;PKW;SEAT;DUISBURGER STR.;42;141322;;
2020-03-03 20:51:00.000;K;PKW;FORD;DUISBURGER STR.;;141322;;
2020-03-03 20:51:00.000;K;PKW;OPEL;DUISBURGER STR.;;141322;;
2020-03-03 20:48:00.000;K;PKW;VW-VOLKSWAGEN;EMMERICHER STR.;;141322;937221;
2020-03-04 10:14:00.000;K;PKW;OPEL;MÜLHEIMER FREIHEIT;;112402;;
2020-03-04 10:18:00.000;DU;PKW;VW-VOLKSWAGEN;MOLTKESTR.;127;141324;;
2020-03-03 15:50:00.000;K;PKW;BMW;NEUSSER STR.;280;113140;;
2020-03-03 15:47:00.000;K;PKW;LANCIA;NEUSSER STR.;308;113140;;
2020-03-03 15:46:00.000;K;PKW;MERCEDES;NEUSSER STR.;340;910321;;
2020-03-03 15:40:00.000;K;PKW;HYUNDAI;NEUSSER STR.;360;113140;;
2020-03-03 15:40:00.000;K;PKW;BMW;NEUSSER STR.;372;113140;;
2020-03-03 15:18:00.000;K;PKW;FORD;NEUSSER STR.;422;113140;;
2020-03-03 15:21:00.000;K;PKW;FORD;NEUSSER STR.;400-406;113140;;
2020-03-03 15:21:00.000;RG;PKW;VW-VOLKSWAGEN;NEUSSER STR.;391-393;113140;;
2020-03-04 07:17:00.000;K;PKW;BMW;CLARENBACHSTR.;;112273;;
2020-03-04 10:18:00.000;BN;PKW;MINI;MOLTKESTR.;81;141324;;
2020-03-04 10:18:00.000;SU;PKW;MINI;UTRECHTER STR.;2;113144;;
2020-03-04 10:18:00.000;K;PKW;MAZDA;MOLTKESTR.;125;141324;;
2020-03-04 10:18:00.000;K;PKW;MERCEDES;MOLTKESTR.;127;141322;;
2020-03-04 10:18:00.000;K;PKW;BMW;MOLTKESTR.;133;141322;;
2020-03-04 10:07:00.000;K;PKW;KIA;BLÜCHERSTR. RO;;141312;;
2020-03-03 14:24:00.000;DO;PKW;OPEL;BRÜCKENSTR. RO;48;141312;;
2020-03-03 14:24:00.000;SUA;PKW;FIAT;BRÜCKENSTR. RO;48;141312;;
2020-03-03 14:21:00.000;K;PKW;MINI;HOMBERGSTR.;3;329113;;
2020-03-03 10:55:00.000;GL;PKW;OPEL;KIRCHSTR. RO;;113144;;
2020-03-03 10:50:00.000;K;PKW;FIAT;HAUPTSTR. RO;41;113144;;
2020-03-03 13:54:00.000;K;PKW;JAGUAR;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;BN;PKW;FORD;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;K;PKW;VW-VOLKSWAGEN;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;K;PKW;MERCEDES;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;K;PKW;HYUNDAI;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;K;PKW;FORD;OSTSTR.;;113140;;
2020-03-03 13:54:00.000;K;PKW;BMW;BARBARASTR. RO;;113140;;
2020-03-03 13:54:00.000;K;PKW;CITROEN;BARBARASTR. RO;;113140;;
2020-03-03 13:54:00.000;K;PKW;OPEL;BARBARASTR. RO;;113140;;
2020-03-03 11:27:00.000;K;PKW;MERCEDES;OSTSTR.;3-5;113140;;
2020-03-03 11:27:00.000;K;PKW;VW-VOLKSWAGEN;OSTSTR.;6;113140;;
2020-03-03 11:02:00.000;K;PKW;SMART;HAUPTSTR. RO;60;113140;;
2020-03-03 10:55:00.000;K;PKW;SMART;KIRCHSTR. RO;;113140;;
2020-03-03 10:55:00.000;K;PKW;VW-VOLKSWAGEN;KIRCHSTR. RO;;113140;;
2020-03-03 10:55:00.000;K;PKW;RENAULT;KIRCHSTR. RO;;113140;;
2020-03-03 10:50:00.000;K;PKW;FORD;HAUPTSTR. RO;49-51;113140;;
2020-03-03 10:32:00.000;K;PKW;VW-VOLKSWAGEN;SCHILLINGSROTTER STR.;;141312;;
2020-03-03 10:28:00.000;SU;PKW;HONDA;SCHILLINGSROTTER STR.;38;141312;112042;116136
2020-03-03 10:14:00.000;BN;PKW;BMW;KONRAD-ADENAUER-STR. RO;;141312;;
2020-03-03 10:07:00.000;BM;PKW;MAZDA;KONRAD-ADENAUER-STR. RO;;900321;;
