datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-08-02 11:57:00.000;K;PKW;HYUNDAI;HOHENZOLLERNRING;57;910321;;
2021-08-02 12:49:00.000;076M;E-ROLLER;UNBEKANNT;KOMÖDIENSTR.;39;901020;;
2021-08-03 07:46:00.000;033;KLEINKRAFTRAD (MOFA, MOKICK);UNBEKANNT;KOMÖDIENSTR.;11;141101;;
2021-08-03 07:46:00.000;692;KLEINKRAFTRAD (MOFA, MOKICK);UNBEKANNT;KOMÖDIENSTR.;11;141101;;
2021-08-02 10:00:00.000;K;PKW;OPEL;RHEINGASSE;18-20;113140;;
2021-08-02 10:00:00.000;K;PKW;AUDI;RHEINGASSE;1;113140;;
2021-08-02 11:57:00.000;BM;PKW;RENAULT;HOHENZOLLERNRING;57;910321;;
2021-08-02 12:49:00.000;949I;E-ROLLER;UNBEKANNT;KOMÖDIENSTR.;39;901020;;
2021-08-02 12:49:00.000;674I;E-ROLLER;UNBEKANNT;KOMÖDIENSTR.;39;901020;;
2021-08-01 10:41:00.000;BM;PKW;FORD;MARTINSTR.;28;141382;;
2021-08-01 10:41:00.000;K;PKW;AUDI;MARTINSTR.;26;141382;;
2021-08-01 10:41:00.000;HH;PKW;SMART;MARTINSTR.;26;141382;;
2021-08-01 10:41:00.000;PF;PKW;FIAT;MARTINSTR.;26;141382;;
2021-08-01 10:41:00.000;K;PKW;BMW;MARTINSTR.;26;141382;;
2021-08-01 10:44:00.000;BM;PKW;RENAULT;STEINWEG;1;141312;;
2021-08-01 10:50:00.000;D;PKW;HYUNDAI;AM HOF;50;141312;;
2021-08-01 10:50:00.000;K;PKW;MERCEDES;BECHERGASSE;9-13;141313;;
2021-08-01 10:50:00.000;PB;PKW;MERCEDES;BECHERGASSE;2-8;141383;;
2021-08-01 10:50:00.000;EU;PKW;VW-VOLKSWAGEN;BECHERGASSE;2-8;141383;;
2021-08-01 10:50:00.000;F;PKW;FORD;BECHERGASSE;2-8;141383;;
2021-08-01 11:10:00.000;ME;PKW;OPEL;BURGMAUER;26;141313;;
2021-08-01 11:10:00.000;BM;PKW;FORD;BURGMAUER;10;141322;;
2021-08-01 12:20:00.000;BM;PKW;DAIHATSU;KLEINE BUDENGASSE;7-9;141312;;
2021-08-01 12:20:00.000;K;PKW;CHEVROLET;KLEINE BUDENGASSE;7-9;141312;;
2021-08-01 12:26:00.000;OG;PKW;PEUGEOT;BISCHOFSGARTENSTR.;;141106;;
2021-08-01 12:28:00.000;K;PKW;FORD;BISCHOFSGARTENSTR.;;141322;;
2021-08-01 12:28:00.000;M;PKW;FORD;BISCHOFSGARTENSTR.;;141322;;
2021-08-01 11:44:00.000;LEV;PKW;AUDI;BISCHOFSGARTENSTR.;;141322;;
2021-08-01 12:28:00.000;EU;PKW;BMW;BISCHOFSGARTENSTR.;;141322;;
2021-08-01 13:00:00.000;K;PKW;FORD;KOLPINGPLATZ;5-11;141313;;
2021-08-01 13:32:00.000;K;PKW;VW-VOLKSWAGEN;KOLUMBASTR.;8;141313;;
2021-08-01 15:23:00.000;K;PKW;VW-VOLKSWAGEN;BURGMAUER;26;141312;;
2021-08-01 10:47:00.000;K;PKW;LAND-ROVER;STAMMHEIMER STR.;25;329113;;
2021-08-01 10:46:00.000;27;PKW;TOYOTA;STAMMHEIMER STR.;20;141621;;
2021-08-01 10:46:00.000;ME;PKW;AUDI;STAMMHEIMER STR.;86;141245;;
2021-08-01 11:33:00.000;K;PKW;MERCEDES;LONGERICHER HAUPTSTR.;35;329113;;
2021-08-01 11:33:00.000;K;PKW;FORD;GRETHENSTR.;;141312;;
2021-08-01 11:33:00.000;K;PKW;AUDI;LONGERICHER HAUPTSTR.;;141312;;
