datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-12-02 12:25:00.000;K;PKW;HYUNDAI;GERNSHEIMER STR.;25;141312;;
2021-12-01 11:00:00.000;K;PKW;MERCEDES;SACHSENBERGSTR.;;141312;;
2021-12-03 14:30:00.000;AW;PKW;VW-VOLKSWAGEN;KRONENGASSE;9;113140;;
2021-12-03 12:40:00.000;SU;PKW;SEAT;CÄCILIENSTR.;46;142278;;
2021-12-03 12:40:00.000;K;PKW;MERCEDES;CÄCILIENSTR.;48;141322;;
2021-12-02 15:20:00.000;K;PKW;MERCEDES;KRONENGASSE;3;113141;;
2021-12-02 16:00:00.000;K;PKW;SEAT;ANTONSGASSE;1;113140;;
2021-12-02 16:00:00.000;K;PKW;SMART;ANTONSGASSE;1;113140;;
2021-12-02 16:00:00.000;BM;PKW;PORSCHE;ANTONSGASSE;1;113140;;
2021-12-02 15:50:00.000;JÜL;PKW;OPEL;BRÜDERSTR.;;112454;;
2021-12-02 15:40:00.000;K;PKW;LINCOLN;BRÜDERSTR.;3;142278;;
2021-12-02 15:35:00.000;K;PKW;BMW;BRÜDERSTR.;3;141322;;
2021-12-02 13:45:00.000;K;PKW;CITROEN;KRONENGASSE;9;113142;;
2021-12-02 14:15:00.000;K;PKW;CITROEN;KRONENGASSE;3;113142;;
2021-12-02 15:12:00.000;K;PKW;RENAULT;CÄCILIENSTR.;48;141322;;
2021-12-02 15:12:00.000;K;PKW;BMW;CÄCILIENSTR.;48;141322;;
2021-12-02 15:12:00.000;K;PKW;MERCEDES;CÄCILIENSTR.;48;141322;;
2021-12-02 15:00:00.000;K;PKW;FORD;CÄCILIENSTR.;42-44;113140;;
2021-12-02 13:30:00.000;K;PKW;FIAT;KRONENGASSE;27;141322;;
2021-12-02 13:40:00.000;BM;LKW;MERCEDES;KRONENGASSE;;112454;;
2021-12-02 13:38:00.000;K;PKW;LINCOLN;KRONENGASSE;;141313;;
2021-12-02 13:38:00.000;SI;PKW;TOYOTA;ANTONSGASSE;;141312;;
2021-12-02 13:09:00.000;K;PKW;MERCEDES;NEUKÖLLNER STR.;;113140;;
2021-12-01 12:35:00.000;GL;PKW;VW-VOLKSWAGEN;HELENENWALLSTR.;;113140;;
2021-12-01 12:35:00.000;KR;PKW;PEUGEOT;HELENENWALLSTR.;;113140;;
2021-12-01 12:10:00.000;K;PKW;VOLVO;HELENENWALLSTR.;;113140;;
2021-12-01 12:10:00.000;K;PKW;SKODA;HELENENWALLSTR.;;113140;;
2021-12-01 11:23:00.000;GL;PKW;FIAT;URBANSTR.;;141312;;
2021-12-01 12:30:00.000;K;PKW;UNBEKANNT;ETZELSTR.;;112398;;
2021-12-02 14:17:00.000;K;PKW;CITROEN;REINOLDSTR.;;113140;;
2021-12-02 15:49:00.000;K;PKW;SMART;HAHNENSTR.;51-53;113140;;
2021-12-02 15:51:00.000;K;PKW;FORD;HAHNENSTR.;;113140;;
2021-12-02 14:17:00.000;K;PKW;MERCEDES;REINOLDSTR.;10;113140;;
2021-12-02 14:07:00.000;K;PKW;BMW;REINOLDSTR.;11;113140;;
2021-12-02 14:05:00.000;RS;PKW;CITROEN;REINOLDSTR.;2;113140;;
2021-12-02 13:57:00.000;K;PKW;BMW;REINOLDSTR.;13;113140;;
2021-12-02 13:57:00.000;K;PKW;SKODA;REINOLDSTR.;17;113140;;
2021-12-02 13:55:00.000;BIT;PKW;TOYOTA;REINOLDSTR.;19;113140;;
2021-12-02 13:54:00.000;K;PKW;MERCEDES;BOBSTR.;24-26;113140;;
2021-12-02 13:42:00.000;K;PKW;VW-VOLKSWAGEN;BOBSTR.;2;113140;;
2021-12-02 13:42:00.000;K;PKW;BMW;BOBSTR.;;141245;;
2021-12-02 13:35:00.000;K;PKW;VW-VOLKSWAGEN;BAYARDSGASSE;3;113140;;
2021-12-02 11:35:00.000;BN;LKW;MERCEDES;SCHILDERGASSE;39;141184;;
2021-12-02 11:21:00.000;K;PKW;SMART;BRÜDERSTR.;3;142278;;
2021-12-02 09:49:00.000;K;PKW;VW-VOLKSWAGEN;LIVERPOOLER PLATZ;;113142;;
2021-12-02 09:58:00.000;K;PKW;FORD;LIVERPOOLER PLATZ;;113140;;
2021-12-02 09:50:00.000;ME;PKW;VW-VOLKSWAGEN;LIVERPOOLER PLATZ;;113142;;
2021-12-02 09:39:00.000;K;PKW;FORD;FLORENZER STR.;14-18;113140;;
2021-12-04 13:42:00.000;OH;PKW;VW-VOLKSWAGEN;BURGHÖFCHEN;;141322;;
2021-12-04 13:42:00.000;K;PKW;VW-VOLKSWAGEN;BURGHÖFCHEN;;141322;;
2021-12-04 13:20:00.000;F;PKW;FORD;SPORERGASSE;;141312;;
2021-12-04 13:17:00.000;LEV;PKW;MERCEDES;MARSPFORTENGASSE;;141312;;
2021-12-04 13:17:00.000;SU;PKW;AUDI;MARSPFORTENGASSE;;141312;;
2021-12-04 13:05:00.000;D;PKW;VW-VOLKSWAGEN;HERZOGSTR.;;141322;;
2021-12-04 13:00:00.000;M;PKW;MERCEDES;BRÜCKENSTR.;;141322;;
2021-12-04 13:00:00.000;M;PKW;BMW;BRÜCKENSTR.;;141322;;
2021-12-04 12:56:00.000;K;PKW;FORD;HERZOGSTR.;38;141322;;
2021-12-04 12:56:00.000;K;PKW;PORSCHE;HERZOGSTR.;40;141322;;
2021-12-04 09:55:00.000;K;PKW;AUDI;HERZOGSTR.;40;141324;;
2021-12-04 09:55:00.000;K;PKW;PORSCHE;HERZOGSTR.;32;141324;;
2021-12-04 12:55:00.000;BN;PKW;MERCEDES;HERZOGSTR.;26;141322;;
2021-12-04 12:43:00.000;K;PKW;PEUGEOT;ANTONITERSTR.;10;141322;;
2021-12-04 10:21:00.000;NE;PKW;TOYOTA;ANTONITERSTR.;10;141324;;
2021-12-04 12:42:00.000;K;PKW;VW-VOLKSWAGEN;ANTONITERSTR.;10;141322;;
2021-12-04 12:42:00.000;K;PKW;AUDI;ANTONITERSTR.;10;141322;;
2021-12-04 10:21:00.000;K;PKW;VW-VOLKSWAGEN;ANTONITERSTR.;10;141324;;
2021-12-04 10:21:00.000;SW;PKW;RENAULT;ANTONITERSTR.;14-16;141314;;
2021-12-04 12:41:00.000;K;PKW;VW-VOLKSWAGEN;ANTONITERSTR.;14-16;141312;;
2021-12-04 12:33:00.000;K;PKW;MINI;GÜRZENICHSTR.;30;141312;;
2021-12-04 12:33:00.000;K;PKW;OPEL;GÜRZENICHSTR.;30;141312;;
2021-12-04 12:30:00.000;K;PKW;FORD;BOLZENGASSE;;141322;;
2021-12-04 10:36:00.000;K;PKW;VW-VOLKSWAGEN;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:36:00.000;K;PKW;MERCEDES;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:36:00.000;DO;PKW;FORD;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:36:00.000;BM;PKW;KIA;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:36:00.000;W;PKW;FIAT;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:36:00.000;K;PKW;VW-VOLKSWAGEN;NEUKÖLLNER STR.;;113140;;
2021-12-04 10:21:00.000;K;PKW;AUDI;ANTONITERSTR.;10;141322;;
2021-12-04 10:15:00.000;K;PKW;BMW;STEINWEG;1;141322;;
2021-12-04 09:55:00.000;SU;PKW;VW-VOLKSWAGEN;HERZOGSTR.;42;141322;;
2021-12-04 09:52:00.000;HP;PKW;AUDI;KOLUMBASTR.;10;141322;;
2021-12-04 09:44:00.000;K;PKW;FIAT;BÜRGERSTR.;16-18;141312;;
2021-12-04 09:40:00.000;NE;PKW;MERCEDES;GROSSE BUDENGASSE;;112454;;
2021-12-04 09:35:00.000;K;PKW;HYUNDAI;BURGHÖFCHEN;;141312;;
2021-12-04 09:30:00.000;D;PKW;VOLVO;STEINWEG;1;141322;;
2021-12-04 09:30:00.000;DN;PKW;FORD;STEINWEG;1;141322;;
2021-12-04 09:26:00.000;K;PKW;AUDI;MARTINSTR.;28;141322;;
2021-12-03 12:01:00.000;K;PKW;JEEP;SEIDMACHERINNENGÄSSCHEN;;141312;;
2021-12-03 11:58:00.000;K;PKW;LAND-ROVER;MARSPFORTENGASSE;3;141312;;
2021-12-03 13:02:00.000;K;PKW;TOYOTA;SCHLEUTERSTR.;6;142103;;
2021-12-03 12:34:00.000;K;PKW;JEEP;OLPENER STR.;120;141322;;
2021-12-03 12:50:00.000;EL;PKW;FIAT;GERMANIASTR.;170;329610;;
2021-12-03 12:34:00.000;K;PKW;RENAULT;BOCHUMER STR.;;141412;;
2021-12-03 08:18:00.000;BN;PKW;MERCEDES;ERFURTER STR.;;927621;;
2021-12-03 10:50:00.000;K;PKW mit Anhänger;FORD;OLPENER STR.;120;141322;;
2021-12-03 08:19:00.000;K;PKW;FORD;ERFURTER STR.;32;112102;;
2021-12-03 08:19:00.000;K;PKW;BMW;ERFURTER STR.;32;112102;;
2021-12-03 08:19:00.000;K;PKW;VW-VOLKSWAGEN;ERFURTER STR.;32;112454;;
2021-12-03 08:19:00.000;HH;PKW;CITROEN;ERFURTER STR.;30;112454;;
2021-12-03 07:40:00.000;1-RV;PKW;OPEL;LUDWIGSBURGER STR.;;112273;;
2021-12-03 07:11:00.000;LEV;PKW;AUDI;FRANKFURTER STR.;;112655;;
2021-12-03 07:11:00.000;ME;PKW;BMW;AN ST.ELISABETH;14;141312;;
2021-12-02 12:20:00.000;K;PKW;MAZDA;GERNSHEIMER STR.;;112062;;
2021-12-02 12:30:00.000;K;PKW;TOYOTA;OFFENBURGER STR.;;141312;;
