datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-02-01 08:42:00.000;BM;PKW;AUDI;GÖPPINGER STR.;19;937221;;
2021-02-01 15:12:00.000;K;PKW;MINI;MEROWINGERSTR.;33A;141322;;
2021-02-01 15:12:00.000;K;PKW;VW-VOLKSWAGEN;ELSASSSTR.;36;141322;;
2021-02-01 15:32:00.000;K;PKW;FORD;METZER STR.;;141322;112042;112262
2021-02-01 15:42:00.000;K;PKW;FORD;METZER STR.;;329610;;
2021-02-02 07:00:00.000;K;PKW;FORD;SACHSENRING;29-31;112402;;
2021-02-02 07:15:00.000;K;PKW;AUDI;LOTHRINGER STR.;;927421;;
2021-02-02 07:20:00.000;K;PKW;MERCEDES;LOTHRINGER STR.;;112432;;
2021-02-02 07:23:00.000;K;PKW;AUDI;METZER STR.;;141312;;
2021-02-02 07:41:00.000;K;PKW;TOYOTA;MARTIN-LUTHER-PLATZ;;112372;;
2021-02-02 07:43:00.000;K;PKW;PEUGEOT;MARTIN-LUTHER-PLATZ;;112402;112262;
2021-02-01 09:35:00.000;OF;PKW;OPEL;MERKENICHER RINGSTR.;144;112293;142104;
2021-02-01 09:35:00.000;FN;PKW;RENAULT;MERKENICHER RINGSTR.;;142103;;
2021-02-01 10:30:00.000;K;PKW;VW-VOLKSWAGEN;JUNGBLUTHSTR.;56-58;142103;;
2021-02-01 10:51:00.000;D;PKW;VW-VOLKSWAGEN;HOHENZOLLERNRING;28;141323;;
2021-02-01 11:41:00.000;K;PKW;RENAULT;FRIESENWALL;1;113140;;
2021-02-01 13:31:00.000;K;PKW;ALFA-ROMEO;PALMSTR.;34;112402;141312;
2021-02-01 13:42:00.000;K;LKW;RENAULT;FRIESENWALL;;141312;;
2021-02-01 07:43:00.000;HH;PKW;MINI;NEUSSER STR. PO;;112272;;
2021-02-01 15:02:00.000;K;PKW;FORD;GOTLANDSTR.;;141312;;
2021-02-01 07:49:00.000;K;PKW;VW-VOLKSWAGEN;ADAM-LINDEN-STR.;15;141312;;
2021-02-01 07:55:00.000;SU;PKW;VW-VOLKSWAGEN;GRAUDENZSTR.;;141312;;
2021-02-01 09:10:00.000;K;PKW;DACIA;KARL-SIEBERT-STR.;;112263;112373;
2021-02-01 09:24:00.000;GM;PKW;MERCEDES;DELLBRÜCKER HAUPTSTR.;107;141313;;
2021-02-01 07:00:00.000;RK;PKW;PEUGEOT;VORGEBIRGSTR.;;112402;112262;
2021-02-01 07:25:00.000;K;PKW;VW-VOLKSWAGEN;METZER STR.;;141312;112042;
2021-02-01 07:25:00.000;K;PKW;AUDI;LOTHRINGER STR.;2A;112432;;
2021-02-01 07:48:00.000;VIE;PKW;VW-VOLKSWAGEN;REMIGIUSSTR.;22;141312;;
2021-02-01 07:14:00.000;BO;PKW;JAGUAR;BERNHARD-FEILCHENFELD-STR.;11-13;141312;;
2021-02-01 07:21:00.000;SU;PKW;FORD;KIERBERGER STR.;;141312;;
2021-02-01 07:32:00.000;K;PKW;MERCEDES;BRAUNEBERGER STR.;1;141312;112042;
2021-02-01 07:32:00.000;LDK;PKW;MITSUBISHI;BERNKASTELER STR.;;141245;;
2021-02-01 07:39:00.000;K;PKW;OPEL;PAUL-NIESSEN-STR.;6;141312;;
2021-02-01 07:46:00.000;K;PKW;VW-VOLKSWAGEN;KRÖVER STR.;12;141312;;
2021-02-01 07:46:00.000;SB;PKW;PEUGEOT;KRÖVER STR.;14;141312;;
2021-02-01 07:21:00.000;K;PKW;BMW;VONDELSTR.;10;112402;;
2021-02-01 07:26:00.000;AC;PKW;OPEL;LOTHRINGER STR.;;927421;;
2021-02-01 09:24:00.000;K;PKW;VW-VOLKSWAGEN;VON-QUADT-STR.;68;141312;;
2021-02-01 11:20:00.000;K;PKW;RENAULT;DÜNNWALDER STR.;6;112403;141322;
2021-02-01 11:20:00.000;K;PKW;HYUNDAI;DÜNNWALDER STR.;17;141322;;
2021-02-02 07:38:00.000;K;PKW;VW-VOLKSWAGEN;VON-QUADT-STR.;56;141312;;
2021-02-01 07:37:00.000;BM;PKW;PORSCHE;FRIEDRICH-EBERT-UFER;102;142103;;
2021-02-01 07:44:00.000;BI;PKW;VW-VOLKSWAGEN;RATHAUSSTR.;;141322;937221;
2021-02-01 08:22:00.000;SU;PKW;FORD;JOSEFSTR.;20;113140;;
2021-02-01 08:18:00.000;K;PKW;FIAT;JOSEFSTR.;20;113140;;
2021-02-01 08:25:00.000;K;PKW;SEAT;JOSEFSTR.;20;113140;;
2021-02-01 08:28:00.000;K;PKW;RENAULT;JOSEFSTR.;20;113140;;
2021-02-01 10:44:00.000;K;PKW;PEUGEOT;FRIEDRICHSHAFER STR.;1;112402;;
2021-02-01 10:44:00.000;GM;PKW;FORD;FRIEDRICHSHAFER STR.;1;141312;;
2021-02-01 10:44:00.000;AK;PKW;VW-VOLKSWAGEN;FRIEDRICHSHAFER STR.;1;141312;;
2021-02-01 08:56:00.000;K;PKW;CITROEN;TRIFELSSTR.;2;141312;;
2021-02-01 08:51:00.000;K;PKW;VW-VOLKSWAGEN;SCHIEFERSBURGER WEG;45;141245;;
2021-02-01 08:47:00.000;K;PKW;MERCEDES;KUSELER STR.;2;141312;;
2021-02-10 14:51:00.000;K;PKW;TOYOTA;BAHNHOFSTR. SÜ;38;937221;;
2021-02-10 14:51:00.000;D;PKW;RENAULT;BAHNHOFSTR. SÜ;24;937221;;
2021-02-10 14:51:00.000;K;PKW;AUDI;BAHNHOFSTR. SÜ;24;937221;;
2021-02-10 14:51:00.000;K;PKW;MERCEDES;BAHNHOFSTR. SÜ;26;937221;;
2021-02-10 14:51:00.000;K;PKW;DAIHATSU;BAHNHOFSTR. SÜ;26;937221;;
