datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-01-14 08:32:00.000;MG;PKW;FIAT;BEETHOVENSTR.;5-13;141324;;
2021-01-14 13:23:00.000;BM;PKW;OPEL;HOHENSTAUFENRING;61;141322;;
2021-01-14 13:23:00.000;K;PKW;VW-VOLKSWAGEN;HOHENSTAUFENRING;57A;141322;;
2021-01-14 09:25:00.000;K;PKW;FORD;LINDENSTR.;52;141324;;
2021-01-14 14:25:00.000;M;PKW;VW-VOLKSWAGEN;MOLTKESTR.;;141322;;
2021-01-14 09:24:00.000;K;PKW;MERCEDES;GILBACHSTR.;18;141312;;
2021-01-14 09:41:00.000;K;PKW;BMW;MAYBACHSTR.;;141312;;
2021-01-14 09:41:00.000;K;PKW;FORD;MAYBACHSTR.;;141312;;
2021-01-14 09:41:00.000;HH;LKW;MERCEDES;MAYBACHSTR.;;141312;;
2021-01-14 14:04:00.000;K;PKW;AUDI;COHNENHOFSTR.;68;112403;;
2021-01-14 18:31:00.000;AW;PKW;TOYOTA;AM HUSHOLZ;;141312;;
2021-01-14 08:51:00.000;KLE;PKW;VW-VOLKSWAGEN;ALSDORFER STR.;;112273;;
2021-01-14 08:32:00.000;LU 7;PKW;OPEL;BEETHOVENSTR.;5-13;141324;;
2021-01-14 10:25:00.000;K;PKW;DACIA;BEETHOVENSTR.;5-13;141322;;
2021-01-14 08:40:00.000;ERW;PKW;TOYOTA;HOHENSTAUFENRING;43-45;141324;;
2021-01-14 10:25:00.000;K;PKW;FORD;BEETHOVENSTR.;5-13;141322;;
2021-01-14 09:59:00.000;SU;PKW;MERCEDES;RICHARD-WAGNER-STR.;25;141322;;
2021-01-14 09:59:00.000;E;PKW;PEUGEOT;RICHARD-WAGNER-STR.;27;141322;;
2021-01-14 09:51:00.000;K;PKW;VW-VOLKSWAGEN;RICHARD-WAGNER-STR.;22;141322;;
2021-01-14 09:51:00.000;K;PKW;MERCEDES;RICHARD-WAGNER-STR.;49;141322;;
2021-01-14 09:42:00.000;K;PKW;MERCEDES;BRÜSSELER STR.;26;141322;;
2021-01-14 09:25:00.000;AC;PKW;MERCEDES;LINDENSTR.;52;141322;;
2021-01-14 09:25:00.000;K;PKW;FORD;LINDENSTR.;52;141322;;
2021-01-14 09:10:00.000;K;PKW;SUZUKI;ROONSTR.;12;141322;;
2021-01-14 09:01:00.000;62;PKW;MAZDA;HOHENSTAUFENRING;11;112402;;
2021-01-14 09:01:00.000;BN;PKW;PORSCHE;HOHENSTAUFENRING;11;112402;;
2021-01-14 08:54:00.000;K;PKW;FORD;HOHENSTAUFENRING;13;112402;;
2021-01-14 08:40:00.000;ERW;PKW;TOYOTA;HOHENSTAUFENRING;43-45;141322;;
2021-01-14 08:40:00.000;GL;PKW;KIA;HOHENSTAUFENRING;47-51;141322;;
2021-01-14 08:40:00.000;K;PKW;AUDI;HOHENSTAUFENRING;47-51;141322;;
2021-01-14 08:32:00.000;MG;PKW;FIAT;BEETHOVENSTR.;5-13;141322;;
2021-01-14 08:32:00.000;NE;PKW;OPEL;BEETHOVENSTR.;5-14;141322;;
2021-01-14 08:32:00.000;LU 7;PKW;OPEL;BEETHOVENSTR.;5-13;141322;;
2021-01-14 08:18:00.000;K;PKW;MINI;HOHENSTAUFENRING;57A;141322;;
2021-01-14 08:18:00.000;K;PKW;FORD;HOHENSTAUFENRING;59;141322;;
2021-01-14 08:18:00.000;SU;PKW;FORD;HOHENSTAUFENRING;59;141322;;
2021-01-14 08:18:00.000;K;PKW;BMW;HOHENSTAUFENRING;61;141322;;
2021-01-13 13:10:00.000;BN;PKW;PORSCHE;HOHENSTAUFENRING;11;112402;;
2021-01-13 12:39:00.000;F;PKW;SMART;HOLZGASSE;;112404;;
2021-01-13 15:13:00.000;K;PKW;MERCEDES;NIEHLER GÜRTEL;;141312;;
2021-01-13 15:13:00.000;K;PKW;FORD;NIEHLER GÜRTEL;;141312;;
2021-01-15 07:05:00.000;K;PKW;OPEL;EINHEITSTR.;1A;141322;;
2021-01-15 07:00:00.000;K;PKW;AUDI;BAUDRIPLATZ;;112262;;
2021-01-15 07:00:00.000;KLE;PKW;RENAULT;BAUDRIPLATZ;16;142103;;
2021-01-14 15:21:00.000;K;PKW;VW-VOLKSWAGEN;NEUSSER STR.;311;113140;;
2021-01-14 15:20:00.000;AC;PKW;BMW;NEUSSER STR.;303;113140;;
2021-01-14 15:15:00.000;K;PKW;BMW;NEUSSER STR.;287;113140;;
2021-01-14 15:12:00.000;DO;PKW;TOYOTA;NEUSSER STR.;285;141322;;
2021-01-14 15:12:00.000;K;PKW;BMW;NEUSSER STR.;285;141322;;
2021-01-14 15:09:00.000;K;PKW;BMW;NEUSSER STR.;275-277;113140;;
2021-01-14 15:00:00.000;K;PKW;SKODA;NEUSSER STR.;232;113140;;
2021-01-14 14:50:00.000;K;PKW;SMART;NEUSSER STR.;181;910321;;
2021-01-14 14:30:00.000;COE;PKW;VW-VOLKSWAGEN;WERKSTATTSTR.;54;141312;;
2021-01-14 14:13:00.000;K;PKW;FORD;LOKOMOTIVSTR.;122;142103;;
2021-01-14 14:09:00.000;GF;PKW;VW-VOLKSWAGEN;LOKOMOTIVSTR.;64;142103;;
2021-01-14 14:07:00.000;BM;PKW;TOYOTA;LOKOMOTIVSTR.;62;142103;;
2021-01-14 14:07:00.000;K;PKW;OPEL;LOKOMOTIVSTR.;62;142103;;
2021-01-14 14:03:00.000;K;PKW;BMW;LOKOMOTIVSTR.;8;142103;;
2021-01-14 11:33:00.000;K;PKW;TOYOTA;NEUSSER STR.;334;910321;;
2021-01-14 11:26:00.000;K;PKW;BMW;NEUSSER STR.;;113140;;
2021-01-14 11:20:00.000;K;PKW;FORD;NIEHLER GÜRTEL;;141312;937221;
2021-01-14 11:20:00.000;K;PKW;VW-VOLKSWAGEN;NIEHLER GÜRTEL;;112216;141312;937221
2021-01-14 10:52:00.000;K;PKW;MERCEDES;NEUSSER STR.;405;113140;;
2021-01-14 10:50:00.000;K;PKW;VW-VOLKSWAGEN;NEUSSER STR.;400-406;113140;;
2021-01-14 10:44:00.000;K;PKW;SUZUKI;NEUSSER STR.;308;113140;;
2021-01-14 10:40:00.000;A;PKW;OPEL;NEUSSER STR.;278;113140;;
2021-01-14 10:38:00.000;ERH;PKW;VW-VOLKSWAGEN;NEUSSER STR.;266-276;113140;;
2021-01-14 10:35:00.000;K;PKW;KIA;NEUSSER STR.;260;113140;;
2021-01-14 10:35:00.000;K;PKW;FORD;NEUSSER STR.;258;113140;;
2021-01-14 08:46:00.000;K;PKW;FORD;BALTHASARSTR.;31;142103;;
2021-01-14 08:46:00.000;K;PKW;OPEL;BALTHASARSTR.;;142103;;
2021-01-14 08:46:00.000;K;PKW;VW-VOLKSWAGEN;KASPARSTR.;9-11;142103;;
2021-01-14 08:46:00.000;K;PKW;VW-VOLKSWAGEN;KASPARSTR.;5;142103;;
2021-01-14 08:52:00.000;K;PKW;FORD;AQUINOSTR.;1;142103;;
2021-01-14 08:52:00.000;K;PKW;VW-VOLKSWAGEN;AQUINOSTR.;18;142103;;
2021-01-14 08:59:00.000;SU;PKW;VW-VOLKSWAGEN;KASPARSTR.;6;142103;;
2021-01-14 11:12:00.000;MK;PKW;RENAULT;HANSARING;115;141313;;
2021-01-14 11:12:00.000;F;PKW;VW-VOLKSWAGEN;SUDERMANPLATZ;6;112282;;
2021-01-14 11:51:00.000;K;PKW;FORD;SUDERMANSTR.;7-9;141322;;
2021-01-14 11:51:00.000;K;PKW;VW-VOLKSWAGEN;SUDERMANSTR.;;112262;;
2021-01-14 11:55:00.000;K;PKW;FORD;SUDERMANSTR.;1;141322;;
2021-01-14 14:18:00.000;HH;PKW;VW-VOLKSWAGEN;MELCHIORSTR.;8;113140;;
2021-01-14 14:18:00.000;K;PKW;VW-VOLKSWAGEN;MELCHIORSTR.;10;113141;;
2021-01-14 14:18:00.000;K;PKW;OPEL;MELCHIORSTR.;2-6;113141;;
2021-01-15 08:16:00.000;K;PKW;PEUGEOT;INNERE KANALSTR.;;141312;;
2021-01-14 12:14:00.000;SI;PKW;AUDI;NIEHLER DAMM;7;141413;;
2021-01-14 12:14:00.000;K;PKW;FORD;NIEHLER DAMM;7-33;141413;;
2021-01-14 17:20:00.000;K;PKW;VW-VOLKSWAGEN;ENGELBERTSTR.;33-35;141322;;
2021-01-14 17:20:00.000;K;PKW;SKODA;BEETHOVENSTR.;16-18;112293;;
2021-01-14 18:26:00.000;MK;PKW;RENAULT;LOCHNERSTR.;1;141312;;
2021-01-14 18:18:00.000;BM;PKW;MERCEDES;RATHENAUPLATZ;;112402;;
2021-01-14 18:33:00.000;TR;PKW;PORSCHE;ROONSTR.;;141245;112262;
2021-01-14 20:17:00.000;K;PKW;MINI;LÜTZOWSTR.;9;112432;141312;
