datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-07-30 11:34:00.000;K;PKW;FORD;HOHENZOLLERNRING;54;113140;;
2021-07-30 11:17:00.000;K;PKW;FORD;FRIESENWALL;53A;113140;;
2021-07-30 11:17:00.000;K;PKW;SMART;FRIESENWALL;47A;113140;;
2021-07-30 11:15:00.000;NR;PKW;BMW;PALMSTR.;47;113140;;
2021-07-30 11:11:00.000;K;PKW;MERCEDES;FRIESENWALL;29;141621;113140;
2021-07-30 11:09:00.000;BM;PKW;VW-VOLKSWAGEN;FRIESENWALL;29;113140;;
2021-07-30 11:09:00.000;K;PKW;FORD;FRIESENWALL;27;113140;;
2021-07-30 10:58:00.000;K;LKW;FORD;FRIESENWALL;;141312;;
2021-07-30 10:59:00.000;BM;PKW;HYUNDAI;EHRENSTR.;59;141322;;
2021-07-30 10:59:00.000;K;PKW;OPEL;EHRENSTR.;53;141322;;
2021-07-30 10:43:00.000;SU;PKW;AUDI;BENESISSTR.;;141312;;
2021-07-30 10:05:00.000;K;PKW;DACIA;APOSTELNSTR.;26;113140;;
2021-07-30 18:48:00.000;SU;PKW;FORD;MAYBACHSTR.;50;113140;;
2021-07-30 18:45:00.000;GL;PKW;NISSAN;MAYBACHSTR.;;113140;;
2021-07-30 18:45:00.000;K;PKW;BMW;MAYBACHSTR.;;113140;;
2021-07-30 18:42:00.000;AC;PKW;BMW;MAYBACHSTR.;80;113140;;
2021-07-30 18:41:00.000;BM;PKW;VW-VOLKSWAGEN;MAYBACHSTR.;82-86;113140;;
2021-07-30 18:34:00.000;K;PKW;FIAT;MAYBACHSTR.;104;113140;;
2021-07-30 18:28:00.000;K;PKW;AUDI;MAYBACHSTR.;;113140;;
2021-07-30 18:25:00.000;K;PKW;FORD;MAYBACHSTR.;;113140;;
2021-07-30 18:25:00.000;K;PKW;VW-VOLKSWAGEN;MAYBACHSTR.;;113140;;
2021-07-30 22:20:00.000;HAL;PKW;MAGIRUS;HANSARING;69-73;113140;;
2021-07-30 22:08:00.000;K;PKW;MERCEDES;HANSARING;85;113140;;
2021-07-30 22:08:00.000;SU;PKW;AUDI;HANSARING;83;113140;;
2021-07-30 22:08:00.000;BH;PKW;SEAT;HANSARING;79-81;113140;;
2021-07-30 22:08:00.000;BN;PKW;PEUGEOT;HANSARING;79-81;113140;;
2021-07-30 22:08:00.000;ERK;PKW;CITROEN;HANSARING;79-81;113140;;
2021-07-30 21:50:00.000;SB;PKW;OPEL;HANSARING;61;113140;;
