datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-03-01 08:41:00.000;K;PKW;FORD;WINDMÜHLENSTR.;77;141412;;
2021-03-01 08:48:00.000;K;PKW;VW-VOLKSWAGEN;DANZIERSTR.;;112402;141342;
2021-03-01 08:48:00.000;HH;PKW;VW-VOLKSWAGEN;DEUTZ-MÜLHEIMER STR.;183;112403;;
2021-03-01 08:48:00.000;NE;PKW;MERCEDES;DEUTZ-MÜLHEIMER STR.;184;900321;112403;
2021-03-01 09:06:00.000;K;PKW;VW-VOLKSWAGEN;HAFENSTR.;19-21;141062;;
2021-03-01 09:06:00.000;K;PKW;VW-VOLKSWAGEN;HAFENSTR.;19-21;141062;;
2021-03-01 09:27:00.000;DN;PKW;FORD;LOHMÜHLENSTR.;8;141322;;
2021-03-01 09:27:00.000;K;PKW;BMW;LOHMÜHLENSTR.;8;141322;;
2021-03-02 10:01:00.000;K;PKW;TOYOTA;WINDMÜHLENSTR.;117;141312;;
2021-03-02 10:01:00.000;K;PKW;LEXUS;WINDMÜHLENSTR.;77;141413;;
2021-03-02 08:15:00.000;LEV;PKW;FORD;BACHSTR.;11-13;112403;;
2021-03-01 08:25:00.000;B;PKW;VW-VOLKSWAGEN;WINDMÜHLENSTR.;77;112404;141413;
2021-03-02 08:10:00.000;K;PKW;VW-VOLKSWAGEN;ELISABETH-BREUER-STR.;24;142278;;
2021-03-02 07:55:00.000;K;PKW;MERCEDES;FRANKFURTER STR.;61;141322;;
2021-03-02 09:05:00.000;K;PKW;MERCEDES;GEORG-BEYER-STR.;1-3;112216;900321;
2021-03-02 19:29:00.000;BM;PKW;AUDI;KASPARSTR.;45;142103;;
2021-03-02 19:40:00.000;MYK;PKW;FORD;KREFELDER WALL;2;141312;;
2021-03-02 19:40:00.000;K;PKW;OPEL;KREFELDER WALL;2;141312;;
2021-03-02 21:15:00.000;K;PKW;BMW;NEUSSER WALL;;141312;;
2021-03-02 21:39:00.000;DU;PKW;BMW;NORBERTSTR.;;141312;;
2021-03-02 21:42:00.000;GM;PKW;BMW;GEREONSHOF;8B;112402;;
2021-03-02 21:45:00.000;F;PKW;FORD;SPIESERGASSE;20;141312;;
2021-03-01 07:04:00.000;K;PKW;CITROEN;ERNST-CASSEL-STR.;;112262;;
2021-03-01 07:04:00.000;BN;PKW;BMW;ERNST-CASSEL-STR.;;142103;;
2021-03-01 07:10:00.000;K;PKW;VW-VOLKSWAGEN;WILHELM-DAVID-STR.;15-17;141312;;
2021-03-01 07:10:00.000;A;PKW;VW-VOLKSWAGEN;WILHELM-DAVID-STR.;88;141312;;
2021-03-01 07:40:00.000;K;PKW;CITROEN;BUSCHFELDSTR.;67;141312;;
2021-03-01 07:55:00.000;M;PKW;MERCEDES;FRIEDLANDSTR.;6;141312;;
2021-03-01 07:40:00.000;K;PKW;SKODA;BUSCHFELDSTR.;67;141312;;
2021-03-01 10:45:00.000;VIE;PKW;VW-VOLKSWAGEN;BERGISCH GLADBACHER STR.;585;113140;;
2021-03-01 10:45:00.000;K;PKW;VW-VOLKSWAGEN;BERGISCH GLADBACHER STR.;581;113140;;
2021-03-01 11:06:00.000;K;PKW;TOYOTA;BERGISCH GLADBACHER STR.;584;113140;;
2021-03-01 11:08:00.000;GL;PKW;VW-VOLKSWAGEN;BERGISCH GLADBACHER STR.;582;113140;;
2021-03-01 11:10:00.000;K;PKW;CITROEN;BERGISCH GLADBACHER STR.;576;113140;;
2021-03-01 11:09:00.000;K;PKW;HONDA;BERGISCH GLADBACHER STR.;576;113140;;
2021-03-01 11:15:00.000;ME;PKW;OPEL;BERGISCH GLADBACHER STR.;576;113140;;
2021-03-01 11:15:00.000;HG;PKW;VW-VOLKSWAGEN;BERGISCH GLADBACHER STR.;576;113140;;
2021-03-02 07:56:00.000;K;LKW;MERCEDES;BUSCHFELDSTR.;59;141313;;
2021-03-02 08:10:00.000;K;PKW;OPEL;FRIEDLANDSTR.;8;141312;;
2021-03-02 08:35:00.000;K;PKW;VW-VOLKSWAGEN;PICCOLOMINISTR.;306;141322;;
2021-03-02 22:17:00.000;K;PKW;VW-VOLKSWAGEN;HERMANN-PÜNDER-STR.;1;142278;;
2021-03-02 18:02:00.000;K;PKW;FIAT;NEUHÖFFERSTR.;;112262;;
2021-03-02 20:19:00.000;K;PKW;SKODA;KENNEDY-UFER;;141312;;
2021-03-02 20:19:00.000;K;PKW;AUDI;KENNEDY-UFER;;141312;;
2021-03-02 20:37:00.000;F;PKW;BMW;NEUHÖFFERSTR.;;927421;;
2021-03-01 06:56:00.000;K;PKW;FORD;GRASNELKENWEG;7;142103;;
2021-03-01 10:55:00.000;K;PKW;OPEL;MAINZER STR.;;329119;113141;
2021-03-01 13:58:00.000;DO;PKW;PORSCHE;BONNER STR.;89;113140;;
2021-03-01 13:58:00.000;K;PKW;FIAT;BONNER STR.;89;113140;;
2021-03-01 13:58:00.000;K;PKW;MAZDA;BONNER STR.;89;113140;;
2021-03-01 13:47:00.000;K;PKW;MERCEDES;KYLLSTR.;2;113140;;
2021-03-01 13:47:00.000;K;PKW;OPEL;KYLLSTR.;2;113140;;
2021-03-01 13:47:00.000;K;PKW;FORD;KYLLSTR.;2;113140;;
2021-03-01 13:23:00.000;K;PKW;TOYOTA;OBERLÄNDER WALL;30;113140;;
2021-03-01 13:30:00.000;K;PKW;SKODA;ALTEBURGER STR.;;113140;;
2021-03-01 13:30:00.000;K;PKW;OPEL;ALTEBURGER STR.;;113140;;
2021-03-31 07:54:00.000;K;PKW;FORD;EINSTEINSTR. PO;;141322;;
2021-03-31 07:50:00.000;K;PKW;AUDI;MÜHLENSTR.;36;141312;;
2021-03-31 07:28:00.000;H;PKW;VW-VOLKSWAGEN;HAUPTSTR. PO;334;112402;;
2021-03-31 07:18:00.000;K;PKW;TOYOTA;GLASHÜTTENSTR.;17;112412;;
2021-03-31 07:17:00.000;KA;PKW;MERCEDES;GLASHÜTTENSTR.;6;112412;;
2021-03-31 07:15:00.000;K;PKW;MERCEDES;GLASHÜTTENSTR.;9;112412;;
2021-03-31 07:12:00.000;B;PKW;RENAULT;GLASHÜTTENSTR.;6;112402;;
2021-03-31 07:08:00.000;BM;PKW;MERCEDES;GLASHÜTTENSTR.;3;141412;;
2021-03-30 14:23:00.000;K;PKW;TOYOTA;WILHELMSTR. PO;23;141106;;
2021-03-30 14:16:00.000;K;PKW;RENAULT;KARLSTR. PO;16-18;113140;;
2021-03-30 14:15:00.000;EU;PKW;LAND-ROVER;KARLSTR. PO;12-18;113140;;
2021-03-30 14:15:00.000;K;PKW;FORD;KARLSTR. PO;2-6;113140;;
2021-03-30 11:32:00.000;K;PKW;HYUNDAI;FRIEDRICHSTR. PO;17;113140;;
2021-03-30 11:25:00.000;GM;PKW;SKODA;FRIEDRICHSTR. PO;8;113140;;
2021-03-30 11:25:00.000;HH;PKW;FIAT;FRIEDRICHSTR. PO;5;113140;;
2021-03-30 11:22:00.000;K;PKW;BMW;FRIEDRICHSTR. PO;19;113140;;
2021-03-30 11:04:00.000;K;PKW;FORD;PHILIPP-REIS-STR.;;113140;;
2021-03-30 11:20:00.000;K;PKW;FORD;FRIEDRICHSTR. PO;25;113140;;
2021-03-31 09:45:00.000;B;LKW;VW-VOLKSWAGEN;NIEHLER STR.;428;142262;;
2021-03-31 09:45:00.000;K;LKW;PEUGEOT;NIEHLER STR.;408;142262;;
2021-03-31 09:45:00.000;K;Sonstiges Fahrzeug;NULL;NIEHLER STR.;394;142262;;
2021-03-31 09:40:00.000;AH;PKW;OPEL;DROSSELWEG;;112263;;
2021-03-31 09:25:00.000;K;Anhänger ohne Zugfahrzeug;UNBEKANNT;FRIEDRICH-KARL-STR.;;329119;;
2021-03-31 09:25:00.000;K;PKW;PEUGEOT;FRIEDRICH-KARL-STR.;;329119;;
2021-03-31 09:25:00.000;K;LKW;FORD;FRIEDRICH-KARL-STR.;;112403;;
2021-03-31 09:25:00.000;K;PKW;BMW;FRIEDRICH-KARL-STR.;;112403;;
