datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-10-20 13:21:00.000;K;PKW;VW-VOLKSWAGEN;HOLLWEGHSTR.;1-3;141312;;
2021-10-19 14:42:00.000;K;PKW;VW-VOLKSWAGEN;VIETORSTR.;2;141382;;
2021-10-20 11:03:00.000;K;PKW;BMW;THESSALONIKI-ALLEE;21;141312;;
2021-10-20 11:17:00.000;K;PKW;VW-VOLKSWAGEN;NEUERBURGSTR.;;141310;;
2021-10-18 11:05:00.000;K;PKW;MERCEDES;OSKAR-JÄGER-STR.;;113140;;
2021-10-18 11:05:00.000;K;PKW;AUDI;OSKAR-JÄGER-STR.;;113140;;
2021-10-21 10:46:00.000;K;PKW;VW-VOLKSWAGEN;KARLSTR.;5-7;141322;;
2021-10-21 10:35:00.000;K;PKW;SMART;DEUTZER FREIHEIT;103;141322;;
2021-10-21 10:11:00.000;K;PKW;VW-VOLKSWAGEN;DEUTZ-KALKER STR.;1;141112;;
2021-10-20 11:40:00.000;K;PKW;PORSCHE;SIEGBURGER STR.;65-73;113140;;
2021-10-20 11:25:00.000;K;PKW;HONDA;WAHNER STR.;10;113140;;
2021-10-20 10:55:00.000;SU;PKW;FORD;KASEMATTENSTR.;14;113140;;
2021-10-20 10:31:00.000;GM;PKW;FORD;DEUTZER FREIHEIT;103;141322;;
2021-10-20 09:09:00.000;K;PKW;VW-VOLKSWAGEN;TEMPELSTR.;39;141313;;
2021-10-20 08:32:00.000;K;LKW;SCANIA;MATHILDENSTR.;5-11;112403;141312;
2021-10-20 08:21:00.000;K;PKW;RENAULT;DEUTZER FREIHEIT;98;141322;;
2021-10-20 08:06:00.000;AC;PKW;FORD;EUMENIUSSTR.;11-13;141312;;
2021-10-19 13:30:00.000;K;PKW;AUDI;VON-SANDT-PLATZ;9;142278;;
2021-10-19 13:12:00.000;K;PKW;MERCEDES;DEUTZ-KALKER STR.;7;113140;;
2021-10-19 13:00:00.000;GL;PKW;AUDI;CONSTANTINSTR.;;113140;;
2021-10-19 12:56:00.000;K;PKW;CITROEN;CONSTANTINSTR.;102;113140;;
2021-10-19 10:40:00.000;NE;PKW;AUDI;CONSTANTINSTR.;;113143;;
2021-10-19 12:21:00.000;K;PKW;VW-VOLKSWAGEN;BATAVERSTR.;24;141312;;
2021-10-19 12:05:00.000;K;PKW;VW-VOLKSWAGEN;GOTENRING;35;113140;;
2021-10-19 11:49:00.000;K;PKW;MERCEDES;GOTENRING;11;142278;;
2021-10-19 11:29:00.000;NE;PKW;OPEL;EUMENIUSSTR.;15-17;141312;;
2021-10-19 11:01:00.000;NE;PKW;SMART;CONSTANTINSTR.;100;329119;;
2021-10-19 10:49:00.000;K;PKW;OPEL;CONSTANTINSTR.;100;113140;;
2021-10-20 17:33:00.000;SU;PKW;MERCEDES;VOGELSANGER STR.;171;112405;;
2021-10-20 17:30:00.000;K;PKW;VW-VOLKSWAGEN;FRÖBELSTR.;2;141313;;
2021-10-20 17:45:00.000;GI;LKW;FORD;FRÖBELSTR.;2;141313;;
2021-10-18 18:44:00.000;BM;PKW;HYUNDAI;FRÖBELSTR.;2;141313;;
2021-10-20 17:44:00.000;D;PKW;FORD;SÖMMERINGSTR.;66;329119;;
2021-10-20 21:45:00.000;K;PKW;FORD;ILTISSTR.;120;141312;;
