datum_von;kennzeichen1;fahrzeugart;fabrikat;strasse;hausnummer;tatbestand1;tatbestand2;tatbestand3
2021-04-07 22:05:00.000;HH;PKW;SMART;BURBACHER STR.;2-4;112403;;
2021-04-08 08:30:00.000;K;PKW;BMW;SAALESTR.;;141312;;
2021-04-01 08:15:00.000;K;PKW;MERCEDES;RIEHLER STR.;;141323;;
2021-04-01 08:15:00.000;GV;PKW;VW-VOLKSWAGEN;RIEHLER STR.;;141323;;
2021-04-01 09:39:00.000;K;PKW;VW-VOLKSWAGEN;THEODOR-HEUSS-RING;13-15;113140;;
2021-04-01 09:39:00.000;VB;PKW;NISSAN;THEODOR-HEUSS-RING;13-15;113140;;
2021-04-01 09:39:00.000;K;PKW;CITROEN;THEODOR-HEUSS-RING;13-15;113140;;
2021-04-01 09:39:00.000;BM;PKW;FORD;THEODOR-HEUSS-RING;13-15;113140;;
2021-04-01 09:39:00.000;K;PKW;FIAT;THEODOR-HEUSS-RING;11;113140;;
2021-04-01 09:41:00.000;EU;PKW;OPEL;THEODOR-HEUSS-RING;11;113140;;
2021-04-05 14:28:00.000;D;PKW;AUDI;NEUSSER WALL;48;113140;;
2021-04-05 14:28:00.000;K;PKW;MERCEDES;NEUSSER WALL;50;329119;;
2021-04-05 14:28:00.000;DL;PKW;HYUNDAI;NEUSSER WALL;48;113140;;
2021-04-05 14:40:00.000;D;PKW;MERCEDES;NEUSSER WALL;71;113140;;
2021-04-05 14:40:00.000;W;PKW;FORD;NEUSSER WALL;71;113140;;
2021-04-05 14:55:00.000;K;PKW;FORD;NEUSSER WALL;30;113140;;
2021-04-05 14:55:00.000;K;PKW;VW-VOLKSWAGEN;NEUSSER WALL;32;113140;;
2021-04-05 14:55:00.000;SU;PKW;VW-VOLKSWAGEN;NEUSSER WALL;30;113140;;
2021-04-05 15:12:00.000;K;PKW;VOLVO;LENTSTR.;8;113140;;
2021-04-01 12:27:00.000;K;PKW;VW-VOLKSWAGEN;TURINER STR.;;113180;;
2021-04-01 12:27:00.000;SU;PKW;MAZDA;TURINER STR.;;113182;;
2021-04-01 12:27:00.000;K;PKW;FORD;TURINER STR.;;113202;;
2021-04-01 12:27:00.000;K;PKW;SMART;TURINER STR.;;113202;;
2021-04-01 07:22:00.000;K;PKW;MINI;BISMARCKSTR.;68;141312;;
2021-04-01 07:20:00.000;GM;PKW;MERCEDES;NEUE MAASTRICHTER STR.;21;142103;;
2021-04-01 10:25:00.000;GP;PKW;PORSCHE;HOHENZOLLERNRING;53;113140;;
2021-04-01 09:23:00.000;HS;PKW;FORD;HOHENZOLLERNRING;57;910321;;
2021-04-01 10:25:00.000;GL;PKW;BMW;HOHENZOLLERNRING;53;113140;;
2021-04-01 10:30:00.000;K;PKW;PEUGEOT;HOHENZOLLERNRING;47;113140;;
2021-04-01 10:30:00.000;VK;PKW;MINI;HOHENZOLLERNRING;47;113140;;
2021-04-01 10:30:00.000;MSP;PKW;RENAULT;HOHENZOLLERNRING;43;113140;;
2021-04-01 10:32:00.000;OS;PKW;SMART;MAASTRICHTER STR.;2;113140;;
2021-04-01 10:00:00.000;K;PKW;FIAT;HOHENZOLLERNRING;43;113141;;
2021-04-01 10:32:00.000;BM;PKW;BMW;MAASTRICHTER STR.;3;113140;;
2021-04-05 10:41:00.000;K;PKW;VW-VOLKSWAGEN;KREFELDER STR.;84;112403;;
2021-04-05 10:41:00.000;HH;PKW;FIAT;GLADBACHER WALL;2A;141312;112042;
2021-04-01 15:11:00.000;MH;PKW;RENAULT;THEODOR-HEUSS-RING;11;113140;;
2021-04-01 10:38:00.000;K;PKW;NISSAN;THEODOR-HEUSS-RING;23;113144;;
2021-04-01 11:42:00.000;K;PKW;VW-VOLKSWAGEN;SEDANSTR.;11;112292;112372;
2021-04-01 11:41:00.000;K;PKW;SMART;RIEHLER STR.;26;113140;;
2021-04-01 11:41:00.000;TE;PKW;VW-VOLKSWAGEN;RIEHLER STR.;28;113140;;
2021-04-01 11:15:00.000;BN;PKW;AUDI;WORRINGER STR.;4-8;112402;;
2021-04-01 11:02:00.000;K;PKW;FORD;AN DER MÜNZE;2-4;112292;;
2021-04-01 11:02:00.000;BM;PKW;FIAT;AN DER MÜNZE;;112272;;
2021-04-01 10:47:00.000;GL;PKW;BMW;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:38:00.000;K;PKW;TOYOTA;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:38:00.000;K;PKW;VW-VOLKSWAGEN;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:32:00.000;GL;PKW;MINI;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:32:00.000;K;PKW;VW-VOLKSWAGEN;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:32:00.000;K;PKW;FORD;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:32:00.000;SU;PKW;SEAT;THEODOR-HEUSS-RING;23;113140;;
2021-04-01 10:07:00.000;K;PKW;SMART;THEODOR-HEUSS-RING;11;113140;;
2021-04-01 10:07:00.000;NE;PKW;FORD;THEODOR-HEUSS-RING;9;113140;;
2021-04-01 10:01:00.000;K;PKW;CITROEN;THEODOR-HEUSS-RING;1-3;113140;;
