strasse;hausnummer;anzahl bussgelder
KENNEDY-UFER;;3235
CHARLES-DE-GAULLE-PLATZ;;3114
LIVERPOOLER PLATZ;;2922
VORSTERSTR.;;2390
JAN-WELLEM-STR.;;1615
NIEHLER GÜRTEL;;1613
MARSPFORTENGASSE;;1527
OVERSBURGSTR.;;1507
AN DER RECHTSCHULE;;1478
NEVEN-DU MONT-STR.;;1459
HITDORFER FÄHRWEG;;1427
HELENENWALLSTR.;;1372
TURKUPLATZ;;1346
HAHNENSTR.;6;1162
RHEINPARKWEG;;1149
OPLADENER STR.;;1149
AM MOLENKOPF;;1089
VOLKSGARTENSTR.;;1011
FLORENZER STR.;32;1009
OSTSTR.;;994
FRIESENWALL;;974
REITWEG;;968
AN DER KEMPERWIESE;;966
JOSEPHSTR.;;947
AUERBACHPLATZ;;919
FRIEDRICHSTR.;;917
URBANSTR.;;903
AUENWEG;;900
SCHMALBEINSTR.;;882
REICHENSPERGERPLATZ;;881
BERRENRATHER STR.;;879
FROHNGASSE;;861
FLORENZER STR.;;814
RIEHLER STR.;;809
HAHNENSTR.;16;782
BARBARASTR. RO;;773
NIEHLER KIRCHWEG;;759
BENESISSTR.;;752
FUCHSSTR.;;751
AM SALZMAGAZIN;;731
BEETHOVENSTR.;5-13;729
APPELLHOFPLATZ;;723
MAGNUSSTR.;;713
HAHNENSTR.;2;709
PHILIPP-REIS-STR.;;700
HOHENZOLLERNRING;2-10;692
OSKAR-JÄGER-STR.;;674
JAHNSTR.;;644
GROSSE SANDKAUL;;642
BUNZLAUER STR. WE;5;640
ZÜLPICHER WALL;;640
HÜTTENSTR.;;631
NEUSSER STR.;285;620
DEUTZER FREIHEIT;;612
AM LEYSTAPEL;;607
HOLWEIDER STR.;4-6;607
ALTEBURGER STR.;;592
PETER-WELTER-PLATZ;;588
AACHENER STR.;;584
BUCHHEIMER STR.;;582
NEUSSER STR.;;572
EITORFER STR.;;568
HAHNENSTR.;18;557
HAHNENSTR.;;553
MITTELSTR.;32;547
RATHER KIRCHWEG;;545
CONSTANTINSTR.;;533
KARTÄUSERWALL;;526
FREIHERR-VOM-STEIN-STR.;;523
HAUPTSTR. RO;;518
NEUERBURGSTR.;;517
KONRAD-ADENAUER-UFER;;516
FLORENZER STR.;20;516
HOHENZOLLERNRING;16-18;516
ACHTERSTR.;;512
BRABANTER STR.;;510
GLOCKENGASSE;;505
AM MARKTPLATZ;;502
APOSTELNKLOSTER;;502
HAHNENSTR.;8;493
MAGNUSSTR.;13;491
ORANJEHOFSTR.;;484
HANSARING;;480
HANS-CARL-NIPPERDEY-STR.;;450
HOHENSTAUFENRING;66-70;433
BUTZWEILERHOFALLEE;;430
GENOVEVASTR.;;430
WEINSBERGSTR.;;430
FRIEDRICH-KARL-STR.;;429
KRONENGASSE;;427
APOSTELNKLOSTER;17-19;424
MÜHLENSTR.;;416
MAGNUSSTR.;11;415
AN DER FLORA;;411
VENLOER STR.;;409
MERHEIMER STR.;;408
MAINZER STR.;;406
GOFFINEWEG;;400
AGRIPPASTR.;;395
CLEVER STR.;;394
MOLTKESTR.;;394
HOHENZOLLERNRING;57;390
MARKMANNSGASSE;;388
MAYBACHSTR.;;388
SIEGBURGER STR.;371;388
NEUSSER STR.;220;383
SIEGBURGER STR.;363;382
NEUSSER STR.;222;379
CLAUDIUSSTR.;;377
FRIESENWALL;19;373
HOHENSTAUFENRING;62;368
VINGSTER RING;;367
VOGELSANGER STR.;;364
MONTESSORISTR.;;363
SUBBELRATHER STR.;;361
BONNER WALL;;359
MAURITIUSKIRCHPLATZ;;359
CÄCILIENKLOSTER;2-10;357
NEUSSER STR.;280;345
IM SIONSTAL;;344
KUENSTR.;;343
SPICHERNSTR.;;343
NEUSSER STR.;266-276;342
BECHERGASSE;2-8;341
GLADBACHER WALL;2A;335
LOTHRINGER STR.;;334
DRUSUSGASSE;7-11;332
BALTHASARSTR.;;331
NEUSSER WALL;;330
FRIEDENSSTR. PO;;330
DRUSUSGASSE;1-5;329
FRANKFURTER STR.;;327
PAUL-SCHALLÜCK-STR.;;324
CÄCILIENSTR.;;323
ZÜLPICHER STR.;;322
HOHENZOLLERNRING;14;321
GOLTSTEINSTR.;;321
HOHENZOLLERNRING;12;317
MARTHASTR.;;316
SÖMMERINGSTR.;;315
NEUE LANGGASSE;;312
MITTELSTR.;;312
LEYENDECKERSTR.;;310
BRABANTER STR.;55;308
GOTENRING;;307
AM ALTEN UFER;;307
VITALISSTR.;;307
DEUTZER FREIHEIT;84-86;306
MOMMSENSTR.;;306
BRABANTER STR.;9;306
INNERE KANALSTR.;;306
ROMAN-KÜHNEL-WEG;;305
PETERSTR.;29;305
BRABANTER STR.;3;304
IM WIESCHEN;;304
GROSSER GRIECHENMARKT;;304
JOSEFSTR.;20;304
HELIOSSTR.;;304
ROBERT-KOCH-STR.;10;301
MAURITIUSWALL;;300
PARKGÜRTEL;;299
BARTHELSTR.;;298
WEYERTAL;;298
KIRCHSTR. RO;;296
SCHÖNSTEINSTR.;;295
MERCATORSTR.;;294
GEORGSPLATZ;;294
JOHANNISSTR.;;292
APOSTELNKLOSTER;13-15;291
NEUSSER LANDSTR.;;290
BRIEDELER STR.;;290
NEUKÖLLNER STR.;;290
BACHEMER STR.;;288
KIRCHSTR. RO;2;287
CÄCILIENSTR.;48;286
BUCHFORSTSTR.;;286
QUATERMARKT;;285
NEUSSER STR.;284-286;285
ULRICHGASSE;;285
VENLOER STR.;254-260;285
NEUSSER STR.;453;282
NIEHLER STR.;;281
BUNZLAUER STR. WE;3;281
SIEGBURGER STR.;;281
THIEBOLDSGASSE;;281
LOKOMOTIVSTR.;8;280
GOTENRING;8;278
RADERBERGER STR.;;278
BRÜDERSTR.;7;277
RATHENAUPLATZ;;275
EICHSTR.;45;275
ANTONSGASSE;1;273
LUDOLF-CAMPHAUSEN-STR.;;272
AM ALTEN UFER;12;272
FRIDOLINSTR.;;270
EINTRACHTSTR.;65;270
URBACHER WEG PO;;269
BEETHOVENSTR.;10;268
ROBERT-KOCH-STR.;8;268
KASEMATTENSTR.;;267
MARKGRAFENSTR.;;267
GUSTAV-CORDS-STR.;;266
HOHENZOLLERNRING;;265
RICHARTZSTR.;14-16;265
GLEUELER STR.;;265
HERMANN-PÜNDER-STR.;;264
AMSTERDAMER STR.;;262
GERHARD-BRUDERS-STR.;;262
BALTHASARSTR.;31;261
ROLANDSTR.;;259
ALTER STAMMHEIMER WEG;;259
STALLAGSBERGWEG;;259
WÖHLERSTR.;;258
AM FLACHSROSTERWEG;;258
SAUERLANDSTR.;;258
AM TRUTZENBERG;;258
BRÜGELMANNSTR.;16-18;258
ROBERT-KOCH-STR.;;257
SEVERINSWALL;;257
HOHENSTAUFENRING;57A;256
KOLPINGPLATZ;5-11;254
