strasse;hausnummer;anzahl bussgelder
LIVERPOOLER PLATZ;;7656
KENNEDY-UFER;;6612
CHARLES-DE-GAULLE-PLATZ;;6241
VORSTERSTR.;;4826
HELENENWALLSTR.;;3234
OVERSBURGSTR.;;3192
NIEHLER GÜRTEL;;3080
NEVEN-DU MONT-STR.;;3053
MARSPFORTENGASSE;;2868
JAN-WELLEM-STR.;;2859
TURKUPLATZ;;2837
SCHMALBEINSTR.;;2574
OSTSTR.;;2539
AN DER RECHTSCHULE;;2493
HAHNENSTR.;6;2368
AUENWEG;;2345
AUERBACHPLATZ;;2281
FRIESENWALL;;2119
VOLKSGARTENSTR.;;2097
AM SALZMAGAZIN;;2002
OPLADENER STR.;;1998
FLORENZER STR.;32;1986
HITDORFER FÄHRWEG;;1923
REICHENSPERGERPLATZ;;1906
RHEINPARKWEG;;1795
FRIEDRICHSTR.;;1738
HAHNENSTR.;16;1733
BARBARASTR. RO;;1691
JOSEPHSTR.;;1679
BENESISSTR.;;1584
REITWEG;;1577
BERRENRATHER STR.;;1554
AM MOLENKOPF;;1504
RIEHLER STR.;;1470
HAHNENSTR.;2;1463
AN DER KEMPERWIESE;;1413
AM LEYSTAPEL;;1395
PHILIPP-REIS-STR.;;1380
FLORENZER STR.;;1361
FUCHSSTR.;;1359
URBANSTR.;;1339
ZÜLPICHER STR.;;1317
GROSSE SANDKAUL;;1307
BEETHOVENSTR.;5-13;1307
DEUTZER FREIHEIT;;1267
AACHENER STR.;;1267
NEUSSER STR.;;1242
MAGNUSSTR.;;1238
HOLWEIDER STR.;4-6;1238
APPELLHOFPLATZ;;1230
HAUPTSTR. RO;;1229
OSKAR-JÄGER-STR.;;1218
MITTELSTR.;32;1203
HAHNENSTR.;;1190
HANSARING;;1164
NIEHLER KIRCHWEG;;1160
NEUERBURGSTR.;;1144
ALTEBURGER STR.;;1141
BUCHHEIMER STR.;;1130
FROHNGASSE;;1128
NEUSSER STR.;285;1126
PETER-WELTER-PLATZ;;1120
REICHENSPERGERPLATZ;1;1107
CONSTANTINSTR.;;1090
KARTÄUSERWALL;;1083
HANS-CARL-NIPPERDEY-STR.;;1067
HAHNENSTR.;8;1058
HAHNENSTR.;18;1058
ZÜLPICHER WALL;;1051
BUNZLAUER STR. WE;5;1010
APOSTELNKLOSTER;;1004
WEINSBERGSTR.;;982
JAHNSTR.;;980
HÜTTENSTR.;;971
EITORFER STR.;;952
CÄCILIENKLOSTER;2-10;945
KRONENGASSE;;925
KONRAD-ADENAUER-UFER;;916
BRÜGELMANNSTR.;16-18;906
KIRCHSTR. RO;;905
FLORENZER STR.;20;902
AM MARKTPLATZ;;899
GENOVEVASTR.;;897
MAINZER STR.;;887
ACHTERSTR.;;886
CLAUDIUSSTR.;;876
FREIHERR-VOM-STEIN-STR.;;868
SIEGBURGER STR.;371;856
NEUKÖLLNER STR.;;847
CLEVER STR.;;845
BRABANTER STR.;;845
AGRIPPASTR.;;813
MAYBACHSTR.;;810
PAUL-SCHALLÜCK-STR.;;809
BONNER WALL;;807
FRIESENWALL;19;797
AM ALTEN UFER;12;787
MAURITIUSWALL;;785
MAURITIUSKIRCHPLATZ;;779
APOSTELNKLOSTER;17-19;771
GLADBACHER WALL;2A;768
MÜHLENSTR.;;768
MARKMANNSGASSE;;730
HOHENZOLLERNRING;2-10;728
FRIEDRICH-KARL-STR.;;728
AM ALTEN UFER;;725
VENLOER STR.;;724
STOLKGASSE;;709
MAGNUSSTR.;13;703
LOTHRINGER STR.;;702
MERCATORSTR.;;697
CÄCILIENSTR.;;693
BUTZWEILERHOFALLEE;;692
BARTHELSTR.;;690
MERHEIMER STR.;;688
VOGELSANGER STR.;;686
ROMAN-KÜHNEL-WEG;;680
MOMMSENSTR.;;674
DEUTZER FREIHEIT;84-86;671
ULRICHGASSE;;667
SUBBELRATHER STR.;;666
AN DER FLORA;;664
MOLTKESTR.;;662
SIEGBURGER STR.;363;659
HOHENSTAUFENRING;66-70;659
GOTENRING;;656
NEUSSER STR.;222;653
GROSSER GRIECHENMARKT;;649
NEUSSER STR.;220;648
BALTHASARSTR.;;639
HOHENSTAUFENRING;62;637
KUENSTR.;;637
HOHENZOLLERNRING;57;635
SCHÖNSTEINSTR.;;630
ANTONSGASSE;1;629
NEUKÖLLNER STR.;1;623
SIEGBURGER STR.;;621
ROBERT-KOCH-STR.;8;614
BALTHASARSTR.;31;613
BRIEDELER STR.;;613
JOSEFSTR.;20;609
GOFFINEWEG;;608
IM SIONSTAL;;606
LEYENDECKERSTR.;;603
VITALISSTR.;;603
HELIOSSTR.;;597
NEUSSER STR.;280;596
RATHER KIRCHWEG;;595
GOLTSTEINSTR.;;592
FRANKFURTER STR.;;589
ORANJEHOFSTR.;;589
RADERBERGER STR.;;588
NEUSSER LANDSTR.;;586
INNERE KANALSTR.;;582
KEMPENER STR.;;582
ROBERT-KOCH-STR.;;581
MITTELSTR.;;579
FRIEDENSSTR. PO;;578
HOHENZOLLERNRING;16-18;577
NEUSSER STR.;266-276;573
GLOCKENGASSE;;572
DRUSUSGASSE;7-11;568
SÖMMERINGSTR.;;568
CÄCILIENKLOSTER;;565
BACHEMER STR.;;564
NIEHLER STR.;;563
ROLANDSTR.;;563
OSLOER STR.;6;561
NEUSSER WALL;;561
BRABANTER STR.;9;559
NEUSSER STR.;284-286;555
RATHENAUPLATZ;;554
BEETHOVENSTR.;10;551
LOCHNERSTR.;1;545
SPICHERNSTR.;;545
JOHANNISSTR.;;540
KASEMATTENSTR.;;540
PETERSTR.;29;536
DRUSUSGASSE;1-5;535
MAGNUSSTR.;11;534
WEYERTAL;;534
FRIESENWALL;13-17;530
BRABANTER STR.;55;529
BUCHFORSTSTR.;;529
WALDSTR.;3;525
MÜNSTEREIFELER STR.;;523
DEUTZ-KALKER STR.;;520
LUDOLF-CAMPHAUSEN-STR.;;520
SEVERINSWALL;;512
VENLOER WALL;;511
JOHANN-CLASSEN-STR.;;511
HERMANN-PÜNDER-STR.;;510
WAISENHAUSGASSE;;509
TURINER STR.;;508
ALTER STAMMHEIMER WEG;;508
TRAJANSTR.;;507
KIERBERGER STR.;;505
AM TRUTZENBERG;;504
WERKSTATTSTR.;;503
SAUERLANDSTR.;;495
ROBERT-KOCH-STR.;10;493
GLEUELER STR.;;492
BECHERGASSE;2-8;491
BRABANTER STR.;23;490
LOKOMOTIVSTR.;8;490
OSLOER STR.;;490
NEUSSER STR.;260;489
BUNZLAUER STR. WE;3;489
KARTÄUSERHOF;;487
APOSTELNKLOSTER;13-15;486
GRAEFFSTR.;41;486
GOTENRING;10;476
PALMSTR.;;475
MARTHASTR.;;473
BRIGITTENGÄSSCHEN;;472
GOTTESWEG;;468
EMIL-SCHREITERER-PLATZ;;466
ZUGWEG;40;463
STEINWEG;4;463
GEORGSPLATZ;;462
HERZOGSTR.;42;461
VENLOER STR.;254-260;461
MARIENSTR.;;460
HASELNUSSWEG;32;460
EICHSTR.;45;459
BRÜDERSTR.;3;456
NEUE LANGGASSE;;454
GUSTAV-CORDS-STR.;;453
GERNSHEIMER STR.;;451
BISCHOFSGARTENSTR.;;449
FRIDOLINSTR.;;446
IM WIESCHEN;;444
WÖHLERSTR.;;444
KALKER HAUPTSTR.;;441
NEUSSER STR.;278;440
NEUSSER STR.;255;440
SCHAAFENSTR.;;439
THIEBOLDSGASSE;;439
SIEVERSSTR.;37-41;437
HERWARTHSTR.;;437
CÄCILIENSTR.;48;436
MARKGRAFENSTR.;;435
SACHSENBERGSTR.;;434
KARL-KORN-STR.;;434
HOHENZOLLERNRING;;433
HERBRANDSTR.;;432
CLAUDIUSSTR.;1;431
WEYERSTR.;;431
KLEINGEDANKSTR.;;430
KREFELDER WALL;;427
KARDINAL-FRINGS-STR.;7;426
WILHELMSTR.;85;425
DAGOBERTSTR.;;422
BEETHOVENSTR.;;421
ERNST-WILHELM-NAY-STR.;;420
BAYENSTR.;;420
URBACHER WEG PO;;420
SCHMALBEINSTR.;5-7;419
VINGSTER RING;;415
BERGISCH GLADBACHER STR.;;415
AN DER DREHSCHEIBE;7;413
SIEMENSSTR.;;413
PARKGÜRTEL;;413
NEUERBURGSTR.;15;413
PANTALEONSWALL;;412
OSLOER STR.;3;410
STEINWEG;12-14;410
NEUSSER STR.;258;410
HERMANN-PÜNDER-STR.;1;410
PIUSSTR.;;409
NEUSSER STR.;20;408
LEYENDECKERSTR.;75;408
BONNER STR.;;406
BREUERSTR.;;406
AM FLACHSROSTERWEG;;406
HOHENZOLLERNRING;46;405
RHEINGASSE;;405
EVERHARDSTR.;;404
HOHENSTAUFENRING;57A;403
GROSSE SANDKAUL;2;402
MONTESSORISTR.;;402
VORGEBIRGSTR.;118;400
OLPENER STR.;;399
KARTÄUSERGASSE;;399
LIEBIGSTR.;;399
HELIOSSTR.;2;398
CLARENBACHSTR.;;398
ZÜLPICHER STR.;49;398
PANTALEONSMÜHLENGASSE;;396
ELISABETH-BREUER-STR.;2;396
LEONHARD-TIETZ-STR.;3;395
DEUTZER FREIHEIT;77-79;394
HAHNENSTR.;33;394
BUNZLAUER STR. WE;2-4;393
RICHARTZSTR.;14-16;393
NEUENHÖFER ALLEE;;392
GUSTAVSTR.;56;391
KAMEKESTR.;12;390
GOTENRING;4;389
KAROLINGERRING;4;387
BRÜDERSTR.;;386
PETERSBERGSTR.;;386
RÖMERGASSE;5;386
MITTELSTR.;3;386
NEUSSER STR.;453;385
NEUSSER STR.;206-208;385
KYOTOSTR.;;385
EINTRACHTSTR.;2;383
AUF DER RUHR;2;382
AUF DEM BRAND;;379
HOHENZOLLERNRING;54;379
HASELNUSSWEG;38;378
NEVEN-DU MONT-STR.;14;378
MARTINSTR.;;377
NEUSSER STR.;93;377
CUSANUSSTR.;;377
HAUPTSTR. PO;;376
NEUSSER STR.;218;375
NIEDERLÄNDER UFER;;374
LUXEMBURGER STR.;116;374
DEUTZER FREIHEIT;88;374
FRANZSTR.;;374
AN DEN GELENKBOGENHALLEN;;373
BRABANTER STR.;3;370
EYTHSTR.;;369
WILHELMSTR.;81;369
GOTENRING;8;368
DEUTZER FREIHEIT;70;367
GRONAUER STR.;53;367
PIPINSTR.;;367
SÜLZBURGSTR.;;367
KAISER-WILHELM-RING;23-25;366
KOLPINGPLATZ;5-11;366
AN DEN DOMINIKANERN;;365
KREUTZERSTR.;;365
AMSTERDAMER STR.;;364
GUTENBERGSTR.;;362
NEUSSER STR.;237;362
RÖMERGASSE;;361
ÄUSSERE KANALSTR.;75C;361
FLORENZER STR.;8-12;361
GRAEFFSTR.;;360
FRÖBELSTR.;;360
MILITÄRRINGSTR.;;360
SACHSENRING;29-31;360
HASELNUSSWEG;;359
CASTELLAUNER STR.;;359
MACHABÄERSTR.;;359
KAPELLENSTR.;52;358
TILSITER WEG;3;358
HERBRANDSTR.;5;355
ILTISSTR.;;354
KALK-MÜLHEIMER STR.;;354
NUSSBAUMERSTR.;;354
SEVERINSTR.;;354
HOHENSTAUFENRING;43-45;353
KAPITELSTR.;;352
KEMPENER STR.;145;352
MOLTKESTR.;27;351
SUBBELRATHER STR.;266;349
HASELNUSSWEG;30;349
BRÜDERSTR.;9;348
METZER STR.;;348
STUPPSTR.;;348
MARIENGARTENGASSE;3;347
ZÖRGIEBELSTR.;;347
NEVEN-DU MONT-STR.;6;346
UFERSTR. RO;;346
NEUSSER STR.;239;345
GROSSE BRINKGASSE;;345
EINTRACHTSTR.;65;345
ALTEBURGER STR.;101;344
BRÜDERSTR.;7;344
HANSARING;63-67;344
ALARICHSTR.;;344
HUMBOLDTSTR.;26;344
FLORASTR.;;344
REITWEG;2-4;344
REICHENSPERGERPLATZ;1A;344
MYLIUSSTR.;;343
WÖHLERSTR.;14;343
PFEILSTR.;;343
RIEHLER GÜRTEL;;343
OBENMARSPFORTEN;;342
KUPFERGASSE;2;342
KALSCHEURER WEG;;341
SIEVERSSTR.;22;341
MARKTSTR.;6;340
MILTENBERGER STR.;;340
OVERBECKSTR.;;339
PERLENPFUHL;;339
LUXEMBURGER STR.;;339
KEMPENER STR.;31;339
HOHENZOLLERNRING;14;339
HOHENSTAUFENRING;72;338
CONSTANTINSTR.;95;338
CONSTANTINSTR.;78;338
KASPARSTR.;;338
OSKAR-JÄGER-STR.;1;338
HOHENZOLLERNRING;52;337
LUXEMBURGER WALL;15;337
AM SALZMAGAZIN;60-62;337
HEISTERBACHSTR.;;336
WERTHMANNSTR.;;336
WALLSTR.;95;336
REITWEG;3;335
MARSPFORTENGASSE;5-7;335
MITTELSTR.;29;334
AUF DER RUHR;;334
BUCHFORSTSTR.;31;334
HOHENZOLLERNRING;12;334
HOHENSTAUFENRING;47-51;334
WEISSHAUSSTR.;;332
NEUSSER STR.;224;331
VIETORSTR.;;330
QUATERMARKT;;330
RATHAUSSTR.;;329
VORGEBIRGSWALL;;329
EVERHARDSTR.;59;328
KREUTZERSTR.;5-9;328
HERMANN-PÜNDER-STR.;3;327
EHRENSTR.;;326
MERHEIMER PLATZ;;326
NEPTUNSTR.;;326
NEUSSER STR.;273;326
WALDECKER STR.;17;325
STALLAGSBERGWEG;;325
HOHENSTAUFENRING;48-54;325
BUSCHGASSE;;325
ADALBERTSTR.;;325
HAHNENSTR.;29-31;324
APOSTELNSTR.;9-11;324
BRÜDERSTR.;17;324
GREMBERGER STR.;;323
FLORENZER STR.;2-6;323
KOPERNIKUSSTR.;;323
THEODOR-HEUSS-RING;13-15;322
FLEISCHMENGERGASSE;;321
KEUPSTR.;;320
BRÜSSELER STR.;;320
AUERBACHPLATZ;1;320
KAISERSTR.;;320
SEVERINSWALL;43;320
GUMMERSBACHER STR.;;319
JOSEPH-STELZMANN-STR.;;318
DÜPPELSTR.;22A;318
SCHÖNSTEINSTR.;11-23;318
HANSEMANNSTR.;2A;317
HOCHSTADENSTR.;;317
LENTSTR.;;317
GOTENRING;2;317
BURGHÖFCHEN;;317
ERNST-WILHELM-NAY-STR.;40;317
BRESLAUER PLATZ;4;316
HAHNENSTR.;14;315
JAKOBSTR.;;315
KAISER-WILHELM-RING;17-21;315
DEUTZER FREIHEIT;68;314
MERKERHOFSTR.;13;314
NEUSSER STR.;230;314
RHEINSTEINSTR.;;313
BERLINER STR.;;313
KEMPENER STR.;44;312
AUERBACHPLATZ;3-5;312
MARSILSTEIN;6;312
VENLOER STR.;341;311
GRAF-ADOLF-STR.;;311
HAMBURGER STR.;;310
NOGATSTR.;;310
MÜNDELSTR.;;309
OSKAR-JÄGER-STR.;147;309
LINDENSTR.;52;309
AUGUST-HORCH-STR.;;307
WILHELM-HOSSDORF-STR.;;307
TRITTENHEIMER STR.;;306
BAHNHOFSVORPLATZ;;306
GUDRUNSTR. RO;6;305
THEODOR-HEUSS-RING;;305
ANKERSTR.;;304
HOHENSTAUFENRING;38-40;304
KOLPINGPLATZ;;303
THEODOR-HEUSS-RING;19-21;302
